,Name,Formula,Adduct,Dil_1_1,Dil_1_5,Dil_1_10,Dil_1_50,Dil_1_100,Dil_1_1000
0, Hypoxanthine, C5H4N4O,M+2H,0.0,0.0,0.0,0.0,0.0,0.0
1, Hypoxanthine, C5H4N4O,M+H+NH4,0.0,0.0,0.0,0.0,0.0,0.0
2, Hypoxanthine, C5H4N4O,M+H+Na,0.0,0.0,0.0,0.0,0.0,0.0
3, Hypoxanthine, C5H4N4O,M+H+K,0.0,0.0,0.0,0.0,0.0,0.0
4, Hypoxanthine, C5H4N4O,M+ACN+2H,0.0,0.0,0.0,0.0,0.0,0.0
5, Hypoxanthine, C5H4N4O,M+2Na,0.0,0.0,0.0,0.0,0.0,0.0
6, Hypoxanthine, C5H4N4O,M+H,64196896.0,19450460.0,9569258.0,1327593.125,1280526.625,246355.25
7, Hypoxanthine, C5H4N4O,M+HC13,3385104.5,998107.125,520847.125,0.0,0.0,0.0
8, Hypoxanthine, C5H4N4O,M+H2C13,0.0,0.0,0.0,0.0,0.0,0.0
9, Hypoxanthine, C5H4N4O,M+NH4,141677.265625,0.0,0.0,0.0,0.0,0.0
10, Hypoxanthine, C5H4N4O,M+Na,9177643.0,3004877.75,1536053.375,225577.34375,245948.6875,27739.5625
11, Hypoxanthine, C5H4N4O,M+NaC13,497496.90625,141138.828125,124520.851562,0.0,0.0,0.0
12, Hypoxanthine, C5H4N4O,M+CH3OH+H,0.0,0.0,0.0,0.0,0.0,0.0
13, Hypoxanthine, C5H4N4O,M+K,1968513.125,974024.0625,412366.0625,0.0,70834.265625,0.0
14, Hypoxanthine, C5H4N4O,M+KC13,0.0,0.0,0.0,0.0,0.0,0.0
15, Hypoxanthine, C5H4N4O,M+ACN+H,357673.6875,0.0,0.0,0.0,0.0,0.0
16, Hypoxanthine, C5H4N4O,M+2Na-H,0.0,0.0,0.0,0.0,0.0,0.0
17, Hypoxanthine, C5H4N4O,M+IsoProp+H,0.0,0.0,0.0,0.0,0.0,0.0
18, Hypoxanthine, C5H4N4O,M+ACN+Na,594437.8125,283714.65625,0.0,0.0,0.0,0.0
19, Hypoxanthine, C5H4N4O,M+2K-H,0.0,0.0,0.0,0.0,0.0,0.0
20, Hypoxanthine, C5H4N4O,M+DMSO+H,0.0,0.0,0.0,0.0,0.0,0.0
21, Hypoxanthine, C5H4N4O,M+2ACN+H,0.0,0.0,0.0,0.0,0.0,0.0
22, Nicotinamide, C6H6N2O,M+2H,0.0,0.0,0.0,0.0,0.0,0.0
23, Nicotinamide, C6H6N2O,M+H+NH4,0.0,0.0,0.0,0.0,0.0,0.0
24, Nicotinamide, C6H6N2O,M+H+Na,0.0,0.0,0.0,0.0,0.0,0.0
25, Nicotinamide, C6H6N2O,M+H+K,0.0,0.0,0.0,0.0,0.0,0.0
26, Nicotinamide, C6H6N2O,M+ACN+2H,0.0,0.0,0.0,0.0,0.0,0.0
27, Nicotinamide, C6H6N2O,M+2Na,0.0,0.0,0.0,0.0,0.0,0.0
28, Nicotinamide, C6H6N2O,M+H,949647488.0,560599872.0,354853888.0,73885616.0,58967420.0,6060942.0
29, Nicotinamide, C6H6N2O,M+HC13,61839824.0,37974144.0,23669370.0,4963213.0,3833502.5,387317.65625
30, Nicotinamide, C6H6N2O,M+H2C13,1839290.0,1074688.125,619236.25,133549.859375,85330.234375,0.0
31, Nicotinamide, C6H6N2O,M+NH4,0.0,0.0,0.0,0.0,0.0,0.0
32, Nicotinamide, C6H6N2O,M+Na,0.0,0.0,0.0,0.0,0.0,0.0
33, Nicotinamide, C6H6N2O,M+NaC13,0.0,0.0,0.0,0.0,0.0,0.0
34, Nicotinamide, C6H6N2O,M+CH3OH+H,0.0,436108.03125,0.0,0.0,0.0,0.0
35, Nicotinamide, C6H6N2O,M+K,0.0,0.0,0.0,0.0,0.0,0.0
36, Nicotinamide, C6H6N2O,M+KC13,0.0,0.0,0.0,0.0,0.0,0.0
37, Nicotinamide, C6H6N2O,M+ACN+H,3593041.25,2450649.25,1763697.5,420300.25,399031.21875,0.0
38, Nicotinamide, C6H6N2O,M+2Na-H,0.0,0.0,0.0,0.0,0.0,0.0
39, Nicotinamide, C6H6N2O,M+IsoProp+H,0.0,0.0,0.0,0.0,0.0,0.0
40, Nicotinamide, C6H6N2O,M+ACN+Na,0.0,0.0,0.0,0.0,0.0,0.0
41, Nicotinamide, C6H6N2O,M+2K-H,0.0,0.0,0.0,0.0,0.0,0.0
42, Nicotinamide, C6H6N2O,M+DMSO+H,0.0,0.0,0.0,0.0,0.0,0.0
43, Nicotinamide, C6H6N2O,M+2ACN+H,0.0,0.0,0.0,0.0,0.0,0.0
44, 5-Oxoproline, C5H7NO3,M+2H,0.0,0.0,0.0,0.0,0.0,0.0
45, 5-Oxoproline, C5H7NO3,M+H+NH4,0.0,0.0,0.0,0.0,0.0,0.0
46, 5-Oxoproline, C5H7NO3,M+H+Na,0.0,0.0,0.0,0.0,0.0,0.0
47, 5-Oxoproline, C5H7NO3,M+H+K,0.0,0.0,0.0,0.0,0.0,0.0
48, 5-Oxoproline, C5H7NO3,M+ACN+2H,0.0,0.0,0.0,0.0,0.0,0.0
49, 5-Oxoproline, C5H7NO3,M+2Na,0.0,0.0,0.0,0.0,0.0,0.0
50, 5-Oxoproline, C5H7NO3,M+H,50486336.0,29953016.0,11577468.0,1192013.625,1559305.75,279864.28125
51, 5-Oxoproline, C5H7NO3,M+HC13,2668980.75,1428082.25,583765.625,0.0,0.0,0.0
52, 5-Oxoproline, C5H7NO3,M+H2C13,0.0,0.0,0.0,0.0,0.0,0.0
53, 5-Oxoproline, C5H7NO3,M+NH4,9964131.0,4344395.5,1749663.125,0.0,0.0,0.0
54, 5-Oxoproline, C5H7NO3,M+Na,0.0,0.0,0.0,0.0,0.0,0.0
55, 5-Oxoproline, C5H7NO3,M+NaC13,0.0,0.0,0.0,0.0,0.0,0.0
56, 5-Oxoproline, C5H7NO3,M+CH3OH+H,0.0,0.0,0.0,0.0,0.0,0.0
57, 5-Oxoproline, C5H7NO3,M+K,0.0,0.0,0.0,0.0,0.0,0.0
58, 5-Oxoproline, C5H7NO3,M+KC13,0.0,0.0,0.0,0.0,0.0,0.0
59, 5-Oxoproline, C5H7NO3,M+ACN+H,0.0,0.0,0.0,0.0,0.0,0.0
60, 5-Oxoproline, C5H7NO3,M+2Na-H,0.0,0.0,0.0,0.0,0.0,0.0
61, 5-Oxoproline, C5H7NO3,M+IsoProp+H,2763661.25,988105.6875,965650.875,0.0,0.0,0.0
62, 5-Oxoproline, C5H7NO3,M+ACN+Na,0.0,0.0,0.0,0.0,0.0,0.0
63, 5-Oxoproline, C5H7NO3,M+2K-H,0.0,0.0,0.0,0.0,0.0,0.0
64, 5-Oxoproline, C5H7NO3,M+DMSO+H,0.0,0.0,0.0,0.0,0.0,0.0
65, 5-Oxoproline, C5H7NO3,M+2ACN+H,0.0,0.0,0.0,0.0,0.0,0.0
66, 5'-Methylthioadenosine, C11H15N5O3S,M+2H,0.0,0.0,0.0,0.0,0.0,0.0
67, 5'-Methylthioadenosine, C11H15N5O3S,M+H+NH4,0.0,0.0,0.0,0.0,0.0,0.0
68, 5'-Methylthioadenosine, C11H15N5O3S,M+H+Na,0.0,0.0,0.0,0.0,0.0,0.0
69, 5'-Methylthioadenosine, C11H15N5O3S,M+H+K,0.0,0.0,0.0,0.0,0.0,0.0
70, 5'-Methylthioadenosine, C11H15N5O3S,M+ACN+2H,0.0,0.0,0.0,0.0,0.0,0.0
71, 5'-Methylthioadenosine, C11H15N5O3S,M+2Na,0.0,0.0,0.0,0.0,0.0,0.0
72, 5'-Methylthioadenosine, C11H15N5O3S,M+H,574712128.0,225063072.0,116637400.0,19856168.0,17756366.0,1500484.0
73, 5'-Methylthioadenosine, C11H15N5O3S,M+HC13,67376072.0,24629328.0,12521707.0,2257288.25,0.0,169336.65625
74, 5'-Methylthioadenosine, C11H15N5O3S,M+H2C13,5229996.5,0.0,926486.375,0.0,135908.609375,0.0
75, 5'-Methylthioadenosine, C11H15N5O3S,M+NH4,0.0,0.0,0.0,0.0,0.0,0.0
76, 5'-Methylthioadenosine, C11H15N5O3S,M+Na,0.0,0.0,0.0,0.0,0.0,0.0
77, 5'-Methylthioadenosine, C11H15N5O3S,M+NaC13,0.0,0.0,0.0,0.0,0.0,0.0
78, 5'-Methylthioadenosine, C11H15N5O3S,M+CH3OH+H,0.0,0.0,0.0,0.0,0.0,0.0
79, 5'-Methylthioadenosine, C11H15N5O3S,M+K,0.0,0.0,0.0,0.0,0.0,0.0
80, 5'-Methylthioadenosine, C11H15N5O3S,M+KC13,0.0,0.0,0.0,0.0,0.0,0.0
81, 5'-Methylthioadenosine, C11H15N5O3S,M+ACN+H,0.0,0.0,0.0,0.0,0.0,0.0
82, 5'-Methylthioadenosine, C11H15N5O3S,M+2Na-H,0.0,0.0,0.0,0.0,0.0,0.0
83, 5'-Methylthioadenosine, C11H15N5O3S,M+IsoProp+H,0.0,0.0,0.0,0.0,0.0,0.0
84, 5'-Methylthioadenosine, C11H15N5O3S,M+ACN+Na,0.0,0.0,0.0,0.0,0.0,0.0
85, 5'-Methylthioadenosine, C11H15N5O3S,M+2K-H,0.0,0.0,0.0,0.0,0.0,0.0
