m/z,RT,Intensity,Identification,Prob
155.009653,554.635010,11495920.000000,StdMix1_68;M-H;[12C]5[1H]3[14N]2[16O]4,1.000000
167.996893,989.856018,9420551.000000,StdMix1_77;M-H;[12C]3[1H]6[14N]1[16O]5[32S]1,1.000000
173.008903,431.755005,6423289.000000,StdMix1_66;M-H;[12C]6[1H]5[16O]6,1.000000
166.974821,869.604004,5534405.500000,StdMix1_81;M-H;[12C]3[1H]4[16O]6[31P]1,1.000000
353.048890,291.399994,5462175.500000,StdMix1_57;M-H;[12C]19[1H]13[16O]5[32S]1,1.000000
334.957549,873.924011,4875426.500000,StdMix1_81;2M-H;[12C]6[1H]9[16O]12[31P]2,1.000000
347.039638,879.648010,4592969.000000,StdMix1_76;M-H;[12C]10[1H]12[14N]4[16O]8[31P]1,0.995000
169.013998,522.750977,3806996.250000,StdMix1_64;M-H;[12C]7[1H]5[16O]5,0.995000
267.073139,613.745972,3780769.750000,StdMix1_11;M-H;[12C]10[1H]11[14N]4[16O]5,1.000000
117.019230,382.250000,3538082.250000,StdMix1_54;M-H;[12C]4[1H]5[16O]4,1.000000
377.085583,796.044006,2826446.750000,StdMix1_87;M+Cl;[12C]12[1H]22[16O]11[35Cl]1,1.000000
208.064688,828.978027,2813977.750000,StdMix1_69;M-H;[12C]7[1H]14[14N]1[16O]4[32S]1,1.000000
323.028516,840.419983,2718492.000000,StdMix1_75;M-H;[12C]9[1H]12[14N]2[16O]9[31P]1,1.000000
243.062051,538.918030,2717363.000000,StdMix1_65;M-H;[12C]9[1H]11[14N]2[16O]6,1.000000
256.059286,801.864014,2455902.000000,StdMix1_3;M+Cl;[12C]8[1H]15[14N]1[16O]6[35Cl]1,1.000000
129.019235,427.282990,2294349.000000,StdMix1_60;M-H2O-H;[12C]5[1H]5[16O]4,1.000000
163.039910,329.363007,2134715.000000,StdMix1_50;M-H;[12C]9[1H]7[16O]3,0.975000
289.067660,540.357971,2109166.000000,StdMix1_65;M+FA-H;[12C]10[1H]13[14N]2[16O]8,1.000000
302.100737,1189.530029,1780984.625000,StdMix1_39;M+FA-H;[12C]9[1H]21[14N]1[16O]8[31P]1,1.000000
