m/z,RT,Intensity,Identification,Prob
167.997007,1014.469971,5277586.000000,StdMix1_77;M-H;[12C]3[1H]6[14N]1[16O]5[32S]1,1.000000
165.019077,357.123993,4671403.000000,StdMix1_52;M-H;[12C]8[1H]5[16O]4,1.000000
155.009734,571.632019,4454143.500000,StdMix1_68;M-H;[12C]5[1H]3[14N]2[16O]4,0.995000
169.014119,536.499023,2989297.500000,StdMix1_64;M-H;[12C]7[1H]5[16O]5,1.000000
173.009000,457.729004,2619845.250000,StdMix1_66;M-H;[12C]6[1H]5[16O]6,0.990000
377.086098,800.676025,2292210.500000,StdMix1_87;M+Cl;[12C]12[1H]22[16O]11[35Cl]1,1.000000
353.049293,310.390991,2280136.750000,StdMix1_57;M-H;[12C]19[1H]13[16O]5[32S]1,1.000000
267.073394,621.971985,2162425.750000,StdMix1_11;M-H;[12C]10[1H]11[14N]4[16O]5,1.000000
243.062337,546.869019,1803507.750000,StdMix1_65;M-H;[12C]9[1H]11[14N]2[16O]6,1.000000
347.040105,907.901978,1399355.875000,StdMix1_76;M-H;[12C]10[1H]12[14N]4[16O]8[31P]1,0.985000
129.019277,453.108002,1321753.000000,StdMix1_60;M-H2O-H;[12C]5[1H]5[16O]4,1.000000
287.088769,422.809998,1099290.000000,StdMix1_56;M+FA-H;[12C]11[1H]15[14N]2[16O]7,1.000000
289.068047,546.869019,1001219.437500,StdMix1_65;M+FA-H;[12C]10[1H]13[14N]2[16O]8,1.000000
256.059583,809.466003,793389.750000,StdMix1_3;M+Cl;[12C]8[1H]15[14N]1[16O]6[35Cl]1,1.000000
273.073135,468.484009,788471.000000,StdMix1_61;M+FA-H;[12C]10[1H]13[14N]2[16O]7,1.000000
168.066399,921.557983,719679.000000,StdMix1_19;M-H;[12C]8[1H]10[14N]1[16O]3,1.000000
379.083117,797.742004,707518.250000,StdMix1_87;M+Cl;[12C]12[1H]22[16O]11[37Cl]1,1.000000
115.003639,380.391998,689045.312500,StdMix1_53;M-H;[12C]4[1H]3[16O]4,0.975000
166.974933,906.390015,678159.875000,StdMix1_81;M-H;[12C]3[1H]4[16O]6[31P]1,0.955000
134.047127,897.276001,616003.625000,StdMix1_21;M-H;[12C]5[1H]4[14N]5,1.000000
205.035219,1017.450012,601926.500000,StdMix1_89;M-H;[12C]7[1H]9[16O]7,1.000000
85.029410,453.108002,600830.625000,StdMix1_51;M-H2O-H;[12C]4[1H]5[16O]2,0.970000
124.007264,976.458008,599972.312500,StdMix1_24;M-H;[12C]2[1H]6[14N]1[16O]3[32S]1,1.000000
103.003625,536.499023,598238.000000,StdMix1_59;M-H;[12C]3[1H]3[16O]4,1.000000
241.083173,426.007996,585436.937500,StdMix1_56;M-H;[12C]10[1H]13[14N]2[16O]5,1.000000
165.040291,558.536011,567584.000000,StdMix1_86;M+FA-H;[12C]5[1H]9[16O]6,1.000000
