m/z,RT,Intensity,Identification,Prob
173.009017,478.934998,1188811.375000,StdMix2_85;M-H2O-H;[12C]6[1H]5[16O]6,1.000000
237.091450,1364.900024,1051177.375000,StdMix2_47;M-H;[12C]8[1H]17[14N]2[16O]4[32S]1,1.000000
146.045681,869.447998,882881.187500,StdMix2_28;M+FA-H;[12C]5[1H]8[14N]1[16O]4,0.990000
243.080903,398.628998,790586.500000,StdMix2_6;M-H;[12C]10[1H]15[14N]2[16O]3[32S]1,1.000000
175.024563,478.934998,427669.093750,StdMix2_61;M+FA-H;[12C]6[1H]7[16O]6,1.000000
117.019267,469.378998,377366.781250,StdMix2_64;M-H;[12C]4[1H]5[16O]4,1.000000
129.019221,654.450012,265945.437500,StdMix2_61;M-H;[12C]5[1H]5[16O]4,1.000000
226.996378,644.442017,223089.109375,StdMix2_85;M+Cl;[12C]6[1H]8[16O]7[35Cl]1,1.000000
237.025169,662.507996,208493.109375,StdMix2_85;M+FA-H;[12C]7[1H]9[16O]9,1.000000
99.008686,656.064026,175559.500000,StdMix2_64;M-H2O-H;[12C]4[1H]3[16O]3,0.980000
111.008695,656.064026,151144.625000,StdMix2_61;M-H2O-H;[12C]5[1H]3[16O]3,0.995000
135.029736,863.633972,128246.078125,StdMix2_91;M+FA-H;[12C]4[1H]7[16O]5,0.965000
238.094743,1364.900024,88614.859375,StdMix2_47;M-H;[12C]7[13C]1[1H]17[14N]2[16O]4[32S]1,1.000000
244.084232,400.092987,80456.328125,StdMix2_6;M-H;[12C]9[13C]1[1H]15[14N]2[16O]3[32S]1,1.000000
174.012363,475.752014,76290.750000,StdMix2_85;M-H2O-H;[12C]5[13C]1[1H]5[16O]6,1.000000
166.995992,649.559998,74488.070313,StdMix2_66;M+Na-2H;[12C]5[1H]4[16O]5[23Na]1,0.975000
383.047020,651.203979,72584.500000,StdMix2_85;2M-H;[12C]12[1H]15[16O]14,1.000000
228.993336,644.442017,69860.343750,StdMix2_85;M+Cl;[12C]6[1H]8[16O]7[37Cl]1,1.000000
235.046044,398.628998,69176.890625,StdMix2_64;2M-H;[12C]8[1H]11[16O]8,0.970000
145.014070,480.523987,45516.765625,StdMix2_66;M-H;[12C]5[1H]5[16O]5,0.975000
147.049023,863.633972,45360.832031,StdMix2_28;M+FA-H;[12C]4[13C]1[1H]8[14N]1[16O]4,0.990000
239.087210,1370.989990,42776.886719,StdMix2_47;M-H;[12C]8[1H]17[14N]2[16O]4[34S]1,1.000000
163.024563,470.971985,37231.132813,StdMix2_64;M+FA-H;[12C]5[1H]7[16O]6,1.000000
487.169570,398.628998,33605.164063,StdMix2_6;2M-H;[12C]20[1H]31[14N]4[16O]6[32S]2,1.000000
289.086639,398.628998,32674.503906,StdMix2_6;M+FA-H;[12C]11[1H]17[14N]2[16O]5[32S]1,1.000000
88.988034,2659.820068,30473.158203,StdMix2_92;M-H;[12C]2[1H]1[16O]4,1.000000
245.076660,398.628998,29842.193359,StdMix2_6;M-H;[12C]10[1H]15[14N]2[16O]3[34S]1,1.000000
176.027885,478.934998,25608.527344,StdMix2_61;M+FA-H;[12C]5[13C]1[1H]7[16O]6,1.000000
475.190375,1363.380005,23186.707031,StdMix2_47;2M-H;[12C]16[1H]35[14N]4[16O]8[32S]2,1.000000
118.022583,470.971985,15129.754883,StdMix2_64;M-H;[12C]3[13C]1[1H]5[16O]4,1.000000
238.028469,659.273987,12928.124023,StdMix2_85;M+FA-H;[12C]6[13C]1[1H]9[16O]9,1.000000
130.022487,654.450012,12701.254883,StdMix2_61;M-H;[12C]4[13C]1[1H]5[16O]4,1.000000
175.013548,478.934998,11628.254883,StdMix2_85;M-H2O-H;[12C]6[1H]5[16O]5[18O]1,1.000000
227.999667,644.442017,10627.202148,StdMix2_85;M+Cl;[12C]5[13C]1[1H]8[16O]7[35Cl]1,1.000000
