m/z,RT,Intensity,Identification,Prob
175.024539,668.567993,29900990.000000,StdMix2_78;M-H;[12C]6[1H]7[16O]6,0.890000
134.027987,906.911987,8095279.500000,StdMix2_22;M-H;[12C]4[1H]8[14N]1[16O]2[32S]1,1.000000
146.045587,872.489990,7207877.500000,StdMix2_28;M+FA-H;[12C]5[1H]8[14N]1[16O]4,0.995000
128.035117,444.746002,5158778.500000,StdMix2_11;M-H;[12C]5[1H]6[14N]1[16O]3,1.000000
351.057026,668.567993,5079064.000000,StdMix2_78;2M-H;[12C]12[1H]15[16O]12,1.000000
237.091310,1363.949951,3775570.000000,StdMix2_47;M-H;[12C]8[1H]17[14N]2[16O]4[32S]1,1.000000
173.009123,663.018005,1560900.500000,StdMix2_85;M-H2O-H;[12C]6[1H]5[16O]6,1.000000
243.080693,399.031006,1230606.125000,StdMix2_6;M-H;[12C]10[1H]15[14N]2[16O]3[32S]1,1.000000
352.060335,668.567993,711986.875000,StdMix2_78;2M-H;[12C]11[13C]1[1H]15[16O]12,1.000000
257.077751,444.746002,679316.875000,StdMix2_11;2M-H;[12C]10[1H]13[14N]2[16O]6,1.000000
115.003586,668.567993,488522.250000,StdMix2_68;M-H2O-H;[12C]4[1H]3[16O]4,1.000000
99.008708,664.409973,468361.937500,StdMix2_64;M-H2O-H;[12C]4[1H]3[16O]3,1.000000
237.025039,665.802002,450896.000000,StdMix2_85;M+FA-H;[12C]7[1H]9[16O]9,1.000000
147.048897,873.888000,416585.218750,StdMix2_28;M+FA-H;[12C]4[13C]1[1H]8[14N]1[16O]4,1.000000
129.019237,661.614014,390529.281250,StdMix2_61;M-H;[12C]5[1H]5[16O]4,1.000000
135.031211,906.911987,355296.000000,StdMix2_22;M-H;[12C]3[13C]1[1H]8[14N]1[16O]2[32S]1,1.000000
136.023585,906.911987,350906.625000,StdMix2_22;M-H;[12C]4[1H]8[14N]1[16O]2[34S]1,1.000000
238.094584,1363.949951,322356.156250,StdMix2_47;M-H;[12C]7[13C]1[1H]17[14N]2[16O]4[32S]1,1.000000
191.019488,665.802002,300652.562500,StdMix2_85;M-H;[12C]6[1H]7[16O]7,0.950000
129.038388,446.299011,286595.281250,StdMix2_11;M-H;[12C]4[13C]1[1H]6[14N]1[16O]3,1.000000
226.996166,837.731995,273313.343750,StdMix2_85;M+Cl;[12C]6[1H]8[16O]7[35Cl]1,1.000000
475.190044,1363.949951,240306.140625,StdMix2_47;2M-H;[12C]16[1H]35[14N]4[16O]8[32S]2,1.000000
111.008700,664.409973,211581.015625,StdMix2_61;M-H2O-H;[12C]5[1H]3[16O]3,1.000000
239.087061,1363.949951,159361.703125,StdMix2_47;M-H;[12C]8[1H]17[14N]2[16O]4[34S]1,1.000000
175.012825,669.960022,153698.281250,StdMix2_85;M-H2O-H;[12C]6[1H]5[16O]5[18O]1,0.995000
195.050675,1035.459961,131785.281250,StdMix2_70;M+FA-H;[12C]6[1H]11[16O]7,0.990000
487.168962,386.352997,119863.632813,StdMix2_6;2M-H;[12C]20[1H]31[14N]4[16O]6[32S]2,1.000000
269.063476,906.911987,115014.976563,StdMix2_22;2M-H;[12C]8[1H]17[14N]2[16O]4[32S]2,1.000000
244.084036,394.759003,107761.523438,StdMix2_6;M-H;[12C]9[13C]1[1H]15[14N]2[16O]3[32S]1,1.000000
