m/z,RT,Intensity,Identification,Prob
188.056179,422.141998,14638334.000000,StdMix3_8;M-H;[12C]7[1H]10[14N]1[16O]5,1.000000
115.003429,353.837006,3585121.000000,StdMix3_9;M-H;[12C]4[1H]3[16O]4,1.000000
168.066198,1258.680054,1494969.750000,StdMix3_22;M-H;[12C]8[1H]10[14N]1[16O]3,1.000000
129.019077,373.717010,1361921.000000,StdMix3_7;M-H;[12C]5[1H]5[16O]4,1.000000
162.022694,373.717010,1274013.750000,StdMix3_29;M-H;[12C]5[1H]8[14N]1[16O]3[32S]1,1.000000
189.059373,423.584991,1140977.750000,StdMix3_8;M-H;[12C]6[13C]1[1H]10[14N]1[16O]5,1.000000
259.022003,1030.420044,1103504.125000,StdMix3_14;M-H;[12C]6[1H]12[16O]9[31P]1,1.000000
215.032569,791.369995,1000030.562500,StdMix3_12;M+Cl;[12C]6[1H]12[16O]6[35Cl]1,1.000000
377.120213,423.584991,946858.687500,StdMix3_8;2M-H;[12C]14[1H]21[14N]2[16O]10,1.000000
306.076148,957.702026,643684.500000,StdMix3_27;M-H;[12C]10[1H]16[14N]3[16O]6[32S]1,1.000000
249.054646,918.473999,445629.968750,StdMix3_26;M-H;[12C]8[1H]13[14N]2[16O]5[32S]1,0.995000
337.140303,1258.680054,419062.687500,StdMix3_22;2M-H;[12C]16[1H]21[14N]2[16O]6,1.000000
173.008735,656.495972,385731.593750,StdMix3_40;M-H;[12C]6[1H]5[16O]6,1.000000
217.029448,794.934021,326279.750000,StdMix3_12;M+Cl;[12C]6[1H]12[16O]6[37Cl]1,1.000000
179.055765,796.716003,220746.296875,StdMix3_12;M-H;[12C]6[1H]11[16O]6,0.995000
170.045711,422.141998,218421.921875,StdMix3_8;M-H2O-H;[12C]7[1H]8[14N]1[16O]4,1.000000
128.035155,438.707001,203737.656250,StdMix3_24;M-H2O-H;[12C]5[1H]6[14N]1[16O]3,1.000000
328.058021,959.388000,189198.000000,StdMix3_27;M+Na-2H;[12C]10[1H]15[14N]3[16O]6[32S]1[23Na]1,1.000000
177.040114,487.707001,179130.875000,StdMix3_10;M-H;[12C]6[1H]9[16O]6,1.000000
116.006720,353.837006,161421.031250,StdMix3_9;M-H;[12C]3[13C]1[1H]3[16O]4,0.995000
185.021804,809.478027,134578.484375,StdMix3_11;M+Cl;[12C]5[1H]10[16O]5[35Cl]1,1.000000
190.060125,422.141998,130299.296875,StdMix3_8;M-H;[12C]7[1H]10[14N]1[16O]4[18O]1,0.995000
219.014290,656.495972,127917.765625,StdMix3_40;M+FA-H;[12C]7[1H]7[16O]8,1.000000
169.069532,1258.680054,127553.578125,StdMix3_22;M-H;[12C]7[13C]1[1H]10[14N]1[16O]3,1.000000
378.123671,423.584991,126191.351563,StdMix3_8;2M-H;[12C]13[13C]1[1H]21[14N]2[16O]10,0.995000
195.050563,741.797974,125097.734375,StdMix3_11;M+FA-H;[12C]6[1H]11[16O]7,1.000000
225.061283,802.127991,103536.789063,StdMix3_12;M+FA-H;[12C]7[1H]13[16O]8,1.000000
271.036703,916.872009,93195.281250,StdMix3_26;M+Na-2H;[12C]8[1H]12[14N]2[16O]5[32S]1[23Na]1,0.995000
347.025209,656.495972,85504.945313,StdMix3_40;2M-H;[12C]12[1H]11[16O]12,1.000000
325.053073,370.427002,85310.859375,StdMix3_29;2M-H;[12C]10[1H]17[14N]2[16O]6[32S]2,0.995000
214.071734,1256.989990,82929.875000,StdMix3_22;M+FA-H;[12C]9[1H]12[14N]1[16O]5,0.995000
130.022342,373.717010,75436.078125,StdMix3_7;M-H;[12C]4[13C]1[1H]5[16O]4,1.000000
260.025308,1030.420044,74754.843750,StdMix3_14;M-H;[12C]5[13C]1[1H]12[16O]9[31P]1,1.000000
307.079494,959.388000,71541.085938,StdMix3_27;M-H;[12C]9[13C]1[1H]16[14N]3[16O]6[32S]1,1.000000
231.014280,352.179993,71463.625000,StdMix3_9;2M-H;[12C]8[1H]7[16O]8,1.000000
111.008562,656.495972,69318.125000,StdMix3_7;M-H2O-H;[12C]5[1H]3[16O]3,1.000000
163.026013,373.717010,67981.898438,StdMix3_29;M-H;[12C]4[13C]1[1H]8[14N]1[16O]3[32S]1,1.000000
216.035750,791.369995,67456.289063,StdMix3_12;M+Cl;[12C]5[13C]1[1H]12[16O]6[35Cl]1,1.000000
338.143630,1258.680054,59669.242188,StdMix3_22;2M-H;[12C]15[13C]1[1H]21[14N]2[16O]6,1.000000
164.018435,373.717010,59086.687500,StdMix3_29;M-H;[12C]5[1H]8[14N]1[16O]3[34S]1,1.000000
149.045143,813.257996,53229.992188,StdMix3_11;M-H;[12C]5[1H]9[16O]5,1.000000
208.985451,648.659973,49840.355469,StdMix3_40;M+Cl;[12C]6[1H]6[16O]6[35Cl]1,1.000000
187.018846,811.362000,40823.589844,StdMix3_11;M+Cl;[12C]5[1H]10[16O]5[37Cl]1,0.995000
250.057973,916.872009,37071.882813,StdMix3_26;M-H;[12C]7[13C]1[1H]13[14N]2[16O]5[32S]1,0.995000
223.045607,584.325012,32643.273438,StdMix3_10;M+FA-H;[12C]7[1H]11[16O]8,1.000000
117.007531,350.524994,30548.546875,StdMix3_9;M-H;[12C]4[1H]3[16O]3[18O]1,0.995000
204.042757,1245.030029,29899.011719,StdMix3_22;M+Cl;[12C]8[1H]11[14N]1[16O]3[35Cl]1,1.000000
131.034699,815.166016,24085.947266,StdMix3_11;M-H2O-H;[12C]5[1H]7[16O]4,1.000000
174.012093,656.495972,23457.564453,StdMix3_40;M-H;[12C]5[13C]1[1H]5[16O]6,1.000000
308.071914,959.388000,22711.904297,StdMix3_27;M-H;[12C]10[1H]16[14N]3[16O]6[34S]1,1.000000
210.037985,445.462006,19746.509766,StdMix3_8;M+Na-2H;[12C]7[1H]9[14N]1[16O]5[23Na]1,1.000000
161.045194,796.716003,17237.339844,StdMix3_12;M-H2O-H;[12C]6[1H]9[16O]5,1.000000
150.055592,1258.680054,16898.623047,StdMix3_22;M-H2O-H;[12C]8[1H]8[14N]1[16O]2,1.000000
261.025971,1028.680054,16816.240234,StdMix3_14;M-H;[12C]6[1H]12[16O]8[18O]1[31P]1,1.000000
379.124934,426.489014,16742.841797,StdMix3_8;2M-H;[12C]14[1H]21[14N]2[16O]9[18O]1,0.995000
329.061504,957.702026,16668.435547,StdMix3_27;M+Na-2H;[12C]9[13C]1[1H]15[14N]3[16O]6[32S]1[23Na]1,1.000000
519.050938,1032.160034,16611.601563,StdMix3_14;2M-H;[12C]12[1H]25[16O]18[31P]2,0.995000
251.050387,916.872009,15795.927734,StdMix3_26;M-H;[12C]8[1H]13[14N]2[16O]5[34S]1,0.995000
281.003960,1033.880005,14681.833984,StdMix3_14;M+Na-2H;[12C]6[1H]11[16O]9[31P]1[23Na]1,1.000000
213.016753,727.661987,13770.873047,StdMix3_10;M+Cl;[12C]6[1H]10[16O]6[35Cl]1,1.000000
210.982532,648.659973,13573.974609,StdMix3_40;M+Cl;[12C]6[1H]6[16O]6[37Cl]1,1.000000
171.049083,423.584991,13414.888672,StdMix3_8;M-H2O-H;[12C]6[13C]1[1H]8[14N]1[16O]4,0.995000
159.029522,487.707001,12967.024414,StdMix3_10;M-H2O-H;[12C]6[1H]7[16O]5,1.000000
180.059077,805.781982,11157.764648,StdMix3_12;M-H;[12C]5[13C]1[1H]11[16O]6,1.000000
201.037674,473.213989,10748.792969,StdMix3_12;M+Na-2H;[12C]6[1H]10[16O]6[23Na]1,0.995000
129.038461,438.707001,10522.652344,StdMix3_24;M-H2O-H;[12C]4[13C]1[1H]6[14N]1[16O]3,1.000000
178.043445,487.707001,10018.628906,StdMix3_10;M-H;[12C]5[13C]1[1H]9[16O]6,1.000000
