m/z,RT,Intensity,Identification,Prob
188.056236,430.954010,44107680.000000,StdMix3_8;M-H;[12C]7[1H]10[14N]1[16O]5,1.000000
115.003483,366.815002,24384216.000000,StdMix3_9;M-H;[12C]4[1H]3[16O]4,1.000000
129.019117,382.375000,5430217.000000,StdMix3_7;M-H;[12C]5[1H]5[16O]4,1.000000
122.024613,523.241028,4282116.500000,StdMix3_1;M-H;[12C]6[1H]4[14N]1[16O]2,1.000000
215.032699,803.340027,4057474.250000,StdMix3_12;M+Cl;[12C]6[1H]12[16O]6[35Cl]1,0.995000
195.050670,945.083984,3069881.250000,StdMix3_11;M+FA-H;[12C]6[1H]11[16O]7,1.000000
377.120357,432.325012,3030081.500000,StdMix3_8;2M-H;[12C]14[1H]21[14N]2[16O]10,1.000000
259.022174,1043.119995,2403891.750000,StdMix3_14;M-H;[12C]6[1H]12[16O]9[31P]1,0.995000
179.055879,779.825989,2098655.000000,StdMix3_12;M-H;[12C]6[1H]11[16O]6,1.000000
217.029575,803.340027,1306740.375000,StdMix3_12;M+Cl;[12C]6[1H]12[16O]6[37Cl]1,1.000000
225.061407,779.825989,1259470.750000,StdMix3_12;M+FA-H;[12C]7[1H]13[16O]8,0.995000
96.969358,996.216003,1241882.250000,StdMix3_13;M-H;[1H]2[16O]4[31P]1,0.995000
116.006762,366.815002,1082323.250000,StdMix3_9;M-H;[12C]3[13C]1[1H]3[16O]4,1.000000
231.014468,366.815002,596382.812500,StdMix3_9;2M-H;[12C]8[1H]7[16O]8,1.000000
170.045573,343.868011,525787.312500,StdMix3_8;M-H2O-H;[12C]7[1H]8[14N]1[16O]4,0.985000
142.974752,996.216003,505750.218750,StdMix3_13;M+FA-H;[12C]1[1H]4[16O]6[31P]1,0.990000
185.021992,815.075989,494429.437500,StdMix3_11;M+Cl;[12C]5[1H]10[16O]5[35Cl]1,1.000000
177.040239,498.231995,387505.468750,StdMix3_10;M-H;[12C]6[1H]9[16O]6,1.000000
378.123759,432.325012,385263.906250,StdMix3_8;2M-H;[12C]13[13C]1[1H]21[14N]2[16O]10,1.000000
130.022388,382.375000,283475.187500,StdMix3_7;M-H;[12C]4[13C]1[1H]5[16O]4,1.000000
123.027935,521.801025,279566.625000,StdMix3_1;M-H;[12C]5[13C]1[1H]4[14N]1[16O]2,1.000000
216.035879,803.340027,272418.156250,StdMix3_12;M+Cl;[12C]5[13C]1[1H]12[16O]6[35Cl]1,1.000000
223.045687,725.526001,262133.984375,StdMix3_10;M+FA-H;[12C]7[1H]11[16O]8,1.000000
149.045162,734.664001,245656.109375,StdMix3_11;M-H;[12C]5[1H]9[16O]5,0.995000
196.053998,945.083984,217404.000000,StdMix3_11;M+FA-H;[12C]5[13C]1[1H]11[16O]7,1.000000
161.045289,779.825989,211158.796875,StdMix3_12;M-H2O-H;[12C]6[1H]9[16O]5,1.000000
117.007564,365.408997,194206.343750,StdMix3_9;M-H;[12C]4[1H]3[16O]3[18O]1,1.000000
260.025507,1044.579956,152896.281250,StdMix3_14;M-H;[12C]5[13C]1[1H]12[16O]9[31P]1,0.995000
187.019061,818.028015,147305.718750,StdMix3_11;M+Cl;[12C]5[1H]10[16O]5[37Cl]1,1.000000
190.108186,897.677979,143780.687500,StdMix3_2;M+FA-H;[12C]8[1H]16[14N]1[16O]4,0.990000
180.059224,773.874023,133160.250000,StdMix3_12;M-H;[12C]5[13C]1[1H]11[16O]6,1.000000
194.946295,997.685974,113425.609375,StdMix3_13;2M-H;[1H]5[16O]8[31P]2,1.000000
131.034661,743.796021,86416.265625,StdMix3_11;M-H2O-H;[12C]5[1H]7[16O]4,0.995000
226.064706,779.825989,82652.734375,StdMix3_12;M+FA-H;[12C]6[13C]1[1H]13[16O]8,1.000000
213.016845,723.989990,81791.062500,StdMix3_10;M+Cl;[12C]6[1H]10[16O]6[35Cl]1,1.000000
519.051414,1043.119995,75840.023438,StdMix3_14;2M-H;[12C]12[1H]25[16O]18[31P]2,0.995000
379.125340,429.583008,54778.187500,StdMix3_8;2M-H;[12C]14[1H]21[14N]2[16O]9[18O]1,0.995000
168.029876,523.241028,37419.398438,StdMix3_1;M+FA-H;[12C]7[1H]6[14N]1[16O]4,1.000000
232.017743,368.226013,36934.691406,StdMix3_9;2M-H;[12C]7[13C]1[1H]7[16O]8,1.000000
261.026234,1044.579956,35899.460938,StdMix3_14;M-H;[12C]6[1H]12[16O]8[18O]1[31P]1,0.995000
