m/z,RT,Intensity,Identification,Prob
233.128216,337.536987,17466296.000000,StdMix1_5;M+H;[12C]13[1H]17[14N]2[16O]2,1.000000
114.066071,1038.229980,12252240.000000,StdMix1_26;M+H;[12C]4[1H]8[14N]3[16O]1,1.000000
263.073458,791.963989,12076275.000000,StdMix1_86;2M+Na;[12C]8[1H]16[16O]8[23Na]1,0.985000
132.101788,793.374023,11088355.000000,StdMix1_13;M+H;[12C]6[1H]14[14N]1[16O]2,1.000000
265.111541,1770.609985,10424769.000000,StdMix1_47;M+H;[12C]12[1H]17[14N]4[16O]1[32S]1,1.000000
255.110031,337.536987,10090335.000000,StdMix1_5;M+Na;[12C]13[1H]16[14N]2[16O]2[23Na]1,1.000000
205.096893,799.002014,9371853.000000,StdMix1_14;M+H;[12C]11[1H]13[14N]2[16O]2,0.995000
189.123041,1068.800049,8752750.000000,StdMix1_27;M+H;[12C]8[1H]17[14N]2[16O]3,0.995000
365.105109,749.765991,7649340.000000,StdMix1_87;M+Na;[12C]12[1H]22[16O]11[23Na]1,1.000000
124.039167,456.359009,7389217.000000,StdMix1_8;M+H;[12C]6[1H]6[14N]1[16O]2,1.000000
136.061644,903.504028,7237717.500000,StdMix1_21;M+H;[12C]5[1H]6[14N]5,1.000000
118.086087,888.815979,6946691.000000,StdMix1_20;M+H;[12C]5[1H]12[14N]1[16O]2,1.000000
138.054789,355.463989,5990114.500000,StdMix1_7;M+H;[12C]7[1H]8[14N]1[16O]2,1.000000
116.070451,951.317993,5557930.000000,StdMix1_22;M+H;[12C]5[1H]10[14N]1[16O]2,1.000000
152.070438,816.078003,4931428.000000,StdMix1_15;M+H;[12C]8[1H]10[14N]1[16O]2,1.000000
150.058174,839.934021,4737714.000000,StdMix1_17;M+H;[12C]5[1H]12[14N]1[16O]2[32S]1,1.000000
177.101981,975.989990,4073292.250000,StdMix1_23;M+H;[12C]10[1H]13[14N]2[16O]1,0.990000
133.059408,1770.609985,4034175.500000,StdMix1_47;M+2H;[12C]12[1H]18[14N]4[16O]1[32S]1,1.000000
210.079216,842.711975,4029650.250000,StdMix1_69;M+H;[12C]7[1H]16[14N]1[16O]4[32S]1,1.000000
170.011514,1009.000000,3997116.750000,StdMix1_77;M+H;[12C]3[1H]8[14N]1[16O]5[32S]1,0.995000
127.050026,983.627991,3863046.500000,StdMix1_2;M+H;[12C]5[1H]7[14N]2[16O]2,1.000000
148.060186,1024.939941,3604425.000000,StdMix1_84;M+H;[12C]5[1H]10[14N]1[16O]4,1.000000
269.087665,626.526001,3594714.250000,StdMix1_11;M+H;[12C]10[1H]13[14N]4[16O]5,1.000000
198.002608,821.796021,3301123.500000,StdMix1_16;M+H;[12C]5[1H]12[14N]1[16O]2[80Se]1,0.995000
175.118726,1589.930054,3126608.000000,StdMix1_46;M+H;[12C]6[1H]15[14N]4[16O]2,1.000000
146.165022,2645.260010,2874552.750000,StdMix1_1;M+H;[12C]7[1H]20[14N]3,0.990000
144.065363,568.322021,2874224.250000,StdMix1_88;M+ACN+H;[12C]6[1H]10[14N]1[16O]3,1.000000
330.059378,921.041992,2748293.500000,StdMix1_74;M+H;[12C]10[1H]13[14N]5[16O]6[31P]1,1.000000
227.124743,1038.229980,2608023.750000,StdMix1_26;2M+H;[12C]8[1H]15[14N]6[16O]2,1.000000
191.102363,1425.359985,2495707.250000,StdMix1_42;M+H;[12C]7[1H]15[14N]2[16O]4,1.000000
234.131419,337.536987,2425173.500000,StdMix1_5;M+H;[12C]12[13C]1[1H]17[14N]2[16O]2,1.000000
176.102662,1148.170044,2337599.750000,StdMix1_35;M+H;[12C]6[1H]14[14N]3[16O]3,1.000000
244.078783,721.013977,2254508.750000,StdMix1_3;M+Na;[12C]8[1H]15[14N]1[16O]6[23Na]1,1.000000
258.109747,1199.430054,2193130.000000,StdMix1_39;M+H;[12C]8[1H]21[14N]1[16O]6[31P]1,1.000000
205.070545,834.401978,2189155.250000,StdMix1_88;2M+H;[12C]8[1H]13[16O]6,1.000000
280.091604,1196.410034,2013823.875000,StdMix1_39;M+Na;[12C]8[1H]20[14N]1[16O]6[31P]1[23Na]1,0.920000
244.092457,1168.500000,1916811.625000,StdMix1_36;M+H;[12C]9[1H]14[14N]3[16O]5,1.000000
133.060535,1119.589966,1907341.875000,StdMix1_32;M+H;[12C]4[1H]9[14N]2[16O]3,1.000000
156.076543,1527.010010,1858155.125000,StdMix1_43;M+H;[12C]6[1H]10[14N]3[16O]2,1.000000
134.044567,1056.579956,1780760.250000,StdMix1_29;M+H;[12C]4[1H]8[14N]1[16O]4,0.925000
232.061121,842.711975,1696881.625000,StdMix1_69;M+Na;[12C]7[1H]15[14N]1[16O]4[32S]1[23Na]1,1.000000
291.104589,466.717010,1659617.125000,StdMix1_99;2M+Na;[12C]10[1H]20[16O]8[23Na]1,0.995000
152.056416,867.635986,1623698.500000,StdMix1_18;M+H;[12C]5[1H]6[14N]5[16O]1,1.000000
227.052191,447.135010,1541257.500000,StdMix1_88;2M+Na;[12C]8[1H]12[16O]6[23Na]1,1.000000
377.145145,463.774994,1483404.500000,StdMix1_9;M+H;[12C]17[1H]21[14N]4[16O]6,1.000000
126.021873,983.627991,1453616.125000,StdMix1_24;M+H;[12C]2[1H]8[14N]1[16O]3[32S]1,1.000000
256.113248,337.536987,1359369.375000,StdMix1_5;M+Na;[12C]12[13C]1[1H]16[14N]2[16O]2[23Na]1,1.000000
266.114633,1770.609985,1348937.750000,StdMix1_47;M+H;[12C]11[13C]1[1H]17[14N]4[16O]1[32S]1,1.000000
245.075775,550.931030,1321539.250000,StdMix1_65;M+H;[12C]9[1H]13[14N]2[16O]6,0.995000
487.231328,338.998993,1281227.750000,StdMix1_5;2M+Na;[12C]26[1H]32[14N]4[16O]4[23Na]1,1.000000
349.053992,903.504028,1241615.875000,StdMix1_76;M+H;[12C]10[1H]14[14N]4[16O]8[31P]1,1.000000
264.076690,790.554016,1126579.875000,StdMix1_86;2M+Na;[12C]7[13C]1[1H]16[16O]8[23Na]1,0.980000
