m/z,RT,Intensity,Identification,Prob
166.086225,753.161987,7916746.000000,StdMix1_12;M+H;[12C]9[1H]12[14N]1[16O]2,0.995000
114.066179,1054.040039,5824748.000000,StdMix1_26;M+H;[12C]4[1H]8[14N]3[16O]1,1.000000
233.128499,331.895996,4606176.000000,StdMix1_5;M+H;[12C]13[1H]17[14N]2[16O]2,1.000000
124.039312,448.751007,4211610.500000,StdMix1_8;M+H;[12C]6[1H]6[14N]1[16O]2,0.995000
136.061761,910.968018,3730082.250000,StdMix1_21;M+H;[12C]5[1H]6[14N]5,1.000000
116.070566,950.502014,3641553.500000,StdMix1_22;M+H;[12C]5[1H]10[14N]1[16O]2,1.000000
132.101855,791.778015,3578135.500000,StdMix1_13;M+H;[12C]6[1H]14[14N]1[16O]2,1.000000
265.111835,1813.729980,3556940.500000,StdMix1_47;M+H;[12C]12[1H]17[14N]4[16O]1[32S]1,1.000000
269.088075,617.388000,3442637.250000,StdMix1_11;M+H;[12C]10[1H]13[14N]4[16O]5,1.000000
118.086212,890.148010,2951643.500000,StdMix1_20;M+H;[12C]5[1H]12[14N]1[16O]2,1.000000
144.065482,561.953003,2577473.750000,StdMix1_88;M+ACN+H;[12C]6[1H]10[14N]1[16O]3,1.000000
133.059471,1813.729980,2472289.750000,StdMix1_47;M+2H;[12C]12[1H]18[14N]4[16O]1[32S]1,1.000000
127.050197,996.335999,2282167.000000,StdMix1_2;M+H;[12C]5[1H]7[14N]2[16O]2,1.000000
365.105656,757.937988,1951059.375000,StdMix1_87;M+Na;[12C]12[1H]22[16O]11[23Na]1,1.000000
255.110347,331.895996,1877884.375000,StdMix1_5;M+Na;[12C]13[1H]16[14N]2[16O]2[23Na]1,1.000000
170.011928,991.781982,1781510.125000,StdMix1_77;M+H;[12C]3[1H]8[14N]1[16O]5[32S]1,1.000000
210.079442,833.393982,1350393.875000,StdMix1_69;M+H;[12C]7[1H]16[14N]1[16O]4[32S]1,1.000000
263.073732,787.049988,1279915.000000,StdMix1_86;2M+Na;[12C]8[1H]16[16O]8[23Na]1,1.000000
138.054932,352.290985,1271393.625000,StdMix1_7;M+H;[12C]7[1H]8[14N]1[16O]2,1.000000
244.092836,1180.410034,1162338.250000,StdMix1_36;M+H;[12C]9[1H]14[14N]3[16O]5,1.000000
152.070529,812.286011,1135604.125000,StdMix1_15;M+H;[12C]8[1H]10[14N]1[16O]2,1.000000
355.063708,290.539001,1037588.625000,StdMix1_57;M+H;[12C]19[1H]15[16O]5[32S]1,1.000000
227.125033,1052.390015,884402.187500,StdMix1_26;2M+H;[12C]8[1H]15[14N]6[16O]2,1.000000
191.102575,1432.619995,829590.250000,StdMix1_42;M+H;[12C]7[1H]15[14N]2[16O]4,1.000000
243.097604,414.016998,799219.875000,StdMix1_56;M+H;[12C]10[1H]15[14N]2[16O]5,1.000000
167.089389,753.161987,789359.687500,StdMix1_12;M+H;[12C]8[13C]1[1H]12[14N]1[16O]2,0.995000
175.118923,1611.040039,759233.625000,StdMix1_46;M+H;[12C]6[1H]15[14N]4[16O]2,1.000000
244.079212,712.500000,738373.250000,StdMix1_3;M+Na;[12C]8[1H]15[14N]1[16O]6[23Na]1,1.000000
258.110181,1199.209961,708019.937500,StdMix1_39;M+H;[12C]8[1H]21[14N]1[16O]6[31P]1,1.000000
377.145772,455.031006,675945.500000,StdMix1_9;M+H;[12C]17[1H]21[14N]4[16O]6,1.000000
234.131711,331.895996,632167.875000,StdMix1_5;M+H;[12C]12[13C]1[1H]17[14N]2[16O]2,1.000000
537.169111,617.388000,598852.562500,StdMix1_11;2M+H;[12C]20[1H]25[14N]8[16O]10,1.000000
134.044712,1057.359985,578180.500000,StdMix1_29;M+H;[12C]4[1H]8[14N]1[16O]4,0.930000
222.097211,710.867981,547417.437500,StdMix1_3;M+H;[12C]8[1H]16[14N]1[16O]6,0.995000
126.021938,979.427979,520805.750000,StdMix1_24;M+H;[12C]2[1H]8[14N]1[16O]3[32S]1,1.000000
266.114973,1813.729980,464180.781250,StdMix1_47;M+H;[12C]11[13C]1[1H]17[14N]4[16O]1[32S]1,1.000000
232.061382,834.875977,446143.312500,StdMix1_69;M+Na;[12C]7[1H]15[14N]1[16O]4[32S]1[23Na]1,1.000000
349.054519,888.539978,419869.687500,StdMix1_76;M+H;[12C]10[1H]14[14N]4[16O]8[31P]1,0.975000
