m/z,RT,Intensity,Identification,Prob
132.101742,781.307983,9668475.000000,StdMix1_13;M+H;[12C]6[1H]14[14N]1[16O]2,1.000000
114.066094,1031.560059,8541903.000000,StdMix1_26;M+H;[12C]4[1H]8[14N]3[16O]1,1.000000
233.128173,340.973999,7520684.500000,StdMix1_5;M+H;[12C]13[1H]17[14N]2[16O]2,1.000000
124.039146,455.816010,6286897.000000,StdMix1_8;M+H;[12C]6[1H]6[14N]1[16O]2,1.000000
189.123132,1066.010010,4922558.000000,StdMix1_27;M+H;[12C]8[1H]17[14N]2[16O]3,1.000000
138.054773,357.153992,4718458.000000,StdMix1_7;M+H;[12C]7[1H]8[14N]1[16O]2,1.000000
116.070470,938.357971,4562971.500000,StdMix1_22;M+H;[12C]5[1H]10[14N]1[16O]2,1.000000
265.111524,1766.400024,4344222.000000,StdMix1_47;M+H;[12C]12[1H]17[14N]4[16O]1[32S]1,1.000000
118.086091,882.323975,4060460.750000,StdMix1_20;M+H;[12C]5[1H]12[14N]1[16O]2,1.000000
269.087633,616.067993,4056663.750000,StdMix1_11;M+H;[12C]10[1H]13[14N]4[16O]5,1.000000
133.059378,1773.430054,3508882.750000,StdMix1_47;M+2H;[12C]12[1H]18[14N]4[16O]1[32S]1,1.000000
136.061644,896.676025,3471986.000000,StdMix1_21;M+H;[12C]5[1H]6[14N]5,1.000000
170.011582,1000.229980,3380173.000000,StdMix1_77;M+H;[12C]3[1H]8[14N]1[16O]5[32S]1,1.000000
365.105075,755.526001,3043415.000000,StdMix1_87;M+Na;[12C]12[1H]22[16O]11[23Na]1,1.000000
127.050050,981.719971,3031994.500000,StdMix1_2;M+H;[12C]5[1H]7[14N]2[16O]2,1.000000
191.102371,1412.989990,2483231.500000,StdMix1_42;M+H;[12C]7[1H]15[14N]2[16O]4,1.000000
144.065300,566.822021,2451395.750000,StdMix1_88;M+ACN+H;[12C]6[1H]10[14N]1[16O]3,1.000000
255.109966,342.454987,2309139.250000,StdMix1_5;M+Na;[12C]13[1H]16[14N]2[16O]2[23Na]1,1.000000
150.058150,827.880005,2183911.000000,StdMix1_17;M+H;[12C]5[1H]12[14N]1[16O]2[32S]1,0.980000
152.070411,803.994019,2162306.000000,StdMix1_15;M+H;[12C]8[1H]10[14N]1[16O]2,1.000000
263.073422,782.723999,2020410.500000,StdMix1_86;2M+Na;[12C]8[1H]16[16O]8[23Na]1,1.000000
176.102764,1135.640015,1951059.625000,StdMix1_35;M+H;[12C]6[1H]14[14N]3[16O]3,1.000000
227.124833,1041.560059,1826754.750000,StdMix1_26;2M+H;[12C]8[1H]15[14N]6[16O]2,1.000000
175.118765,1583.189941,1738816.750000,StdMix1_46;M+H;[12C]6[1H]15[14N]4[16O]2,1.000000
244.092517,1161.829956,1701878.375000,StdMix1_36;M+H;[12C]9[1H]14[14N]3[16O]5,1.000000
146.164907,2678.290039,1597520.625000,StdMix1_1;M+H;[12C]7[1H]20[14N]3,1.000000
134.044598,1050.180054,1571641.750000,StdMix1_29;M+H;[12C]4[1H]8[14N]1[16O]4,1.000000
133.060583,1112.390015,1542786.125000,StdMix1_32;M+H;[12C]4[1H]9[14N]2[16O]3,0.980000
156.076589,1518.410034,1399956.375000,StdMix1_43;M+H;[12C]6[1H]10[14N]3[16O]2,1.000000
198.002557,811.062012,1396053.125000,StdMix1_16;M+H;[12C]5[1H]12[14N]1[16O]2[80Se]1,1.000000
200.075719,1772.030029,1324581.625000,StdMix1_48;M+2H;[12C]15[1H]24[14N]6[16O]5[32S]1,1.000000
