m/z,RT,Intensity,Identification,Prob
76.075745,1088.979980,98698520.000000,StdMix2_39;M+H;[12C]3[1H]10[14N]1[16O]1,1.000000
146.117437,984.942017,37820556.000000,StdMix2_23;M+H;[12C]7[1H]16[14N]1[16O]2,1.000000
75.091724,1694.989990,35668792.000000,StdMix2_54;M+H;[12C]3[1H]11[14N]2,1.000000
123.055203,516.283997,7307459.000000,StdMix2_10;M+H;[12C]6[1H]7[14N]2[16O]1,1.000000
298.096858,590.385986,7284076.500000,StdMix2_12;M+H;[12C]11[1H]16[14N]5[16O]3[32S]1,0.995000
104.107065,1082.949951,6761317.500000,StdMix2_34;M+H;[12C]5[1H]14[14N]1[16O]1,0.980000
194.081195,347.803986,6022637.000000,StdMix2_59;M+H;[12C]10[1H]12[14N]1[16O]3,1.000000
154.097273,1025.689941,5832007.000000,StdMix2_26;M+H;[12C]7[1H]12[14N]3[16O]1,0.995000
268.104017,765.114014,5465877.500000,StdMix2_16;M+H;[12C]10[1H]14[14N]5[16O]4,1.000000
150.077362,827.046021,4940158.000000,StdMix2_18;M+H;[12C]6[1H]8[14N]5,0.980000
132.101844,813.197998,4534073.000000,StdMix2_19;M+H;[12C]6[1H]14[14N]1[16O]2,0.995000
162.112378,1047.130005,3577142.250000,StdMix2_29;M+H;[12C]7[1H]16[14N]1[16O]3,1.000000
77.078902,1088.979980,3502173.250000,StdMix2_39;M+H;[12C]2[13C]1[1H]10[14N]1[16O]1,1.000000
220.117950,386.476013,3383563.250000,StdMix2_7;M+H;[12C]9[1H]18[14N]1[16O]5,1.000000
191.117796,766.619995,3069349.250000,StdMix2_14;M+H;[12C]11[1H]15[14N]2[16O]1,1.000000
118.086166,963.888000,3026713.000000,StdMix2_24;M+H;[12C]5[1H]12[14N]1[16O]2,1.000000
147.120602,984.942017,2849067.750000,StdMix2_23;M+H;[12C]6[13C]1[1H]16[14N]1[16O]2,1.000000
189.086917,516.283997,2809847.250000,StdMix2_67;M+H;[12C]7[1H]13[14N]2[16O]4,1.000000
112.050613,1082.949951,2659540.250000,StdMix2_36;M+H;[12C]4[1H]6[14N]3[16O]1,1.000000
145.097182,1053.199951,2578575.750000,StdMix2_32;M+ACN+H;[12C]6[1H]13[14N]2[16O]2,1.000000
182.081154,900.390015,2368868.250000,StdMix2_60;M+NH4;[12C]9[1H]12[14N]1[16O]3,1.000000
245.095370,386.476013,2170755.000000,StdMix2_6;M+H;[12C]10[1H]17[14N]2[16O]3[32S]1,1.000000
516.298908,289.690002,2031305.750000,StdMix2_65;M+H;[12C]26[1H]46[14N]1[16O]7[32S]1,1.000000
122.081126,1286.030029,2015274.000000,StdMix2_30;M+CH3OH+H;[12C]4[1H]12[14N]1[16O]3,1.000000
186.160294,1096.640015,2005109.750000,StdMix2_34;M+2ACN+H;[12C]9[1H]20[14N]3[16O]1,1.000000
242.099868,392.136993,1873306.125000,StdMix2_7;M+Na;[12C]9[1H]17[14N]1[16O]5[23Na]1,1.000000
211.068805,496.897003,1762991.000000,StdMix2_67;M+Na;[12C]7[1H]12[14N]2[16O]4[23Na]1,1.000000
117.102316,1112.099976,1687216.375000,StdMix2_39;M+ACN+H;[12C]5[1H]13[14N]2[16O]1,1.000000
426.155437,618.023987,1552994.125000,StdMix2_43;M+ACN+H;[12C]16[1H]24[14N]7[16O]5[32S]1,1.000000
79.076004,1703.959961,1547171.750000,StdMix2_54;M+2ACN+2H;[12C]7[1H]18[14N]4,0.995000
104.070569,1048.660034,1539038.250000,StdMix2_32;M+H;[12C]4[1H]10[14N]1[16O]2,1.000000
170.092343,1523.869995,1474453.875000,StdMix2_49;M+H;[12C]7[1H]12[14N]3[16O]2,0.940000
239.105909,1375.930054,1461258.875000,StdMix2_47;M+H;[12C]8[1H]19[14N]2[16O]4[32S]1,1.000000
74.071270,1022.630005,1440315.000000,StdMix2_27;M+H;[12C]2[1H]8[14N]3,0.850000
90.054915,1044.069946,1335716.125000,StdMix2_30;M+H;[12C]3[1H]8[14N]1[16O]2,0.995000
184.073311,1372.920044,1323058.625000,StdMix2_44;M+H;[12C]5[1H]15[14N]1[16O]4[31P]1,1.000000
76.094876,1689.020020,1274737.875000,StdMix2_54;M+H;[12C]2[13C]1[1H]11[14N]2,1.000000
127.050169,394.985992,1274258.000000,StdMix2_8;M+H;[12C]5[1H]7[14N]2[16O]2,0.995000
131.129162,1681.550049,1233974.500000,StdMix2_53;M+H;[12C]5[1H]15[14N]4,1.000000
168.065422,911.489990,1173749.250000,StdMix2_20;M+H;[12C]8[1H]10[14N]1[16O]3,0.960000
130.049800,427.679993,1162036.375000,StdMix2_11;M+H;[12C]5[1H]8[14N]1[16O]3,0.990000
291.227746,984.942017,1015772.125000,StdMix2_23;2M+H;[12C]14[1H]31[14N]2[16O]4,1.000000
511.165763,387.890015,1001781.187500,StdMix2_6;2M+Na;[12C]20[1H]32[14N]4[16O]6[32S]2[23Na]1,0.995000
267.077381,389.303986,936459.250000,StdMix2_6;M+Na;[12C]10[1H]16[14N]2[16O]3[32S]1[23Na]1,1.000000
299.099812,590.385986,878408.187500,StdMix2_12;M+H;[12C]10[13C]1[1H]16[14N]5[16O]3[32S]1,0.995000
86.060018,1181.000000,707870.750000,StdMix2_55;M+H+NH4;[12C]8[1H]16[14N]2[16O]2,0.995000
195.084393,343.473999,669006.687500,StdMix2_59;M+H;[12C]9[13C]1[1H]12[14N]1[16O]3,1.000000
173.092030,871.463989,668310.625000,StdMix2_91;M+2ACN+H;[12C]7[1H]13[14N]2[16O]3,1.000000
133.060739,1220.239990,655282.250000,StdMix2_42;M+H;[12C]4[1H]9[14N]2[16O]3,0.985000
206.055269,1366.880005,634850.500000,StdMix2_44;M+Na;[12C]5[1H]14[14N]1[16O]4[31P]1[23Na]1,1.000000
517.302138,289.690002,621544.875000,StdMix2_65;M+H;[12C]25[13C]1[1H]46[14N]1[16O]7[32S]1,1.000000
365.105578,928.427979,609932.937500,StdMix2_77;M+Na;[12C]12[1H]22[16O]11[23Na]1,1.000000
175.107733,1053.199951,606419.062500,StdMix2_37;M+H;[12C]7[1H]15[14N]2[16O]3,0.985000
269.107112,765.114014,598674.750000,StdMix2_16;M+H;[12C]9[13C]1[1H]14[14N]5[16O]4,1.000000
284.098849,745.265991,585448.500000,StdMix2_17;M+H;[12C]10[1H]14[14N]5[16O]5,1.000000
193.068119,1223.349976,542707.500000,StdMix2_43;M+2H;[12C]14[1H]22[14N]6[16O]5[32S]1,1.000000
173.128320,861.612000,500717.375000,StdMix2_19;M+ACN+H;[12C]8[1H]17[14N]2[16O]2,1.000000
124.058479,517.734985,484196.406250,StdMix2_10;M+H;[12C]5[13C]1[1H]7[14N]2[16O]1,1.000000
159.112852,1082.949951,480399.562500,StdMix2_24;M+ACN+H;[12C]7[1H]15[14N]2[16O]2,1.000000
131.081587,1074.000000,473389.656250,StdMix2_30;M+ACN+H;[12C]5[1H]11[14N]2[16O]2,1.000000
263.196437,976.038025,469657.937500,StdMix2_19;2M+H;[12C]12[1H]27[14N]2[16O]4,1.000000
177.102120,769.632019,454697.250000,StdMix2_4;M+2ACN+H;[12C]10[1H]13[14N]2[16O]1,1.000000
208.144365,797.658020,442349.250000,StdMix2_14;M+NH4;[12C]11[1H]18[14N]3[16O]1,0.995000
155.100521,1025.689941,432742.875000,StdMix2_26;M+H;[12C]6[13C]1[1H]12[14N]3[16O]1,0.995000
171.112725,864.918030,431740.968750,StdMix2_55;M+NH4;[12C]8[1H]15[14N]2[16O]2,1.000000
187.143982,900.390015,368614.125000,StdMix2_23;M+ACN+H;[12C]9[1H]19[14N]2[16O]2,1.000000
192.121035,766.619995,359589.281250,StdMix2_14;M+H;[12C]10[13C]1[1H]15[14N]2[16O]1,1.000000
165.065772,473.251007,357404.718750,StdMix2_2;M+ACN+H;[12C]8[1H]9[14N]2[16O]2,0.885000
133.097077,1560.130005,356322.468750,StdMix2_51;M+H;[12C]5[1H]13[14N]2[16O]2,1.000000
203.139135,1163.810059,349655.031250,StdMix2_29;M+ACN+H;[12C]9[1H]19[14N]2[16O]3,1.000000
261.087896,1377.439941,314717.343750,StdMix2_47;M+Na;[12C]8[1H]18[14N]2[16O]4[32S]1[23Na]1,1.000000
300.092323,595.200989,314294.718750,StdMix2_12;M+H;[12C]11[1H]16[14N]5[16O]3[34S]1,0.995000
221.121184,383.648987,314217.218750,StdMix2_7;M+H;[12C]8[13C]1[1H]18[14N]1[16O]5,1.000000
151.080587,825.497986,307918.937500,StdMix2_18;M+H;[12C]5[13C]1[1H]8[14N]5,0.980000
77.072543,1102.839966,303111.406250,StdMix2_39;M+H;[12C]3[1H]10[15N]1[16O]1,0.930000
133.105076,813.197998,294585.375000,StdMix2_19;M+H;[12C]5[13C]1[1H]14[14N]1[16O]2,1.000000
427.159040,618.023987,273273.406250,StdMix2_43;M+ACN+H;[12C]15[13C]1[1H]24[14N]7[16O]5[32S]1,1.000000
195.112695,377.980988,272426.968750,StdMix2_55;M+ACN+H;[12C]10[1H]15[14N]2[16O]2,0.855000
105.110389,1081.459961,262785.687500,StdMix2_34;M+H;[12C]4[13C]1[1H]14[14N]1[16O]1,0.975000
163.115541,1047.130005,261408.265625,StdMix2_29;M+H;[12C]6[13C]1[1H]16[14N]1[16O]3,1.000000
134.032484,1082.949951,256356.296875,StdMix2_36;M+Na;[12C]4[1H]5[14N]3[16O]1[23Na]1,1.000000
221.577034,616.367981,255679.078125,StdMix2_69;M+2H;[12C]19[1H]21[14N]7[16O]6,1.000000
76.088571,1689.020020,253112.234375,StdMix2_54;M+H;[12C]3[1H]11[14N]1[15N]1,1.000000
183.084408,900.390015,227042.765625,StdMix2_60;M+NH4;[12C]8[13C]1[1H]12[14N]1[16O]3,1.000000
261.144714,1148.579956,222402.812500,StdMix2_7;M+ACN+H;[12C]11[1H]21[14N]2[16O]5,1.000000
399.148707,496.897003,218655.468750,StdMix2_67;2M+Na;[12C]14[1H]24[14N]4[16O]8[23Na]1,1.000000
190.090157,514.831970,205788.515625,StdMix2_67;M+H;[12C]6[13C]1[1H]13[14N]2[16O]4,1.000000
246.098538,382.234985,203632.281250,StdMix2_6;M+H;[12C]9[13C]1[1H]17[14N]2[16O]3[32S]1,1.000000
165.054568,900.390015,180453.984375,StdMix2_60;M+H;[12C]9[1H]9[16O]3,1.000000
512.169297,387.890015,174260.187500,StdMix2_6;2M+Na;[12C]19[13C]1[1H]32[14N]4[16O]6[32S]2[23Na]1,1.000000
86.581487,1621.930054,170372.171875,StdMix2_53;M+ACN+2H;[12C]7[1H]19[14N]5,1.000000
243.103180,389.303986,154715.109375,StdMix2_7;M+Na;[12C]8[13C]1[1H]17[14N]1[16O]5[23Na]1,1.000000
227.052381,429.217010,153706.718750,StdMix2_62;2M+Na;[12C]8[1H]12[16O]6[23Na]1,0.995000
119.089496,963.888000,151603.546875,StdMix2_24;M+H;[12C]4[13C]1[1H]12[14N]1[16O]2,1.000000
187.163537,1095.109985,142397.890625,StdMix2_34;M+2ACN+H;[12C]8[13C]1[1H]20[14N]3[16O]1,1.000000
538.280581,289.690002,137946.578125,StdMix2_65;M+Na;[12C]26[1H]45[14N]1[16O]7[32S]1[23Na]1,1.000000
442.146887,618.023987,130969.671875,StdMix2_69;M+H;[12C]19[1H]20[14N]7[16O]6,1.000000
146.100392,1053.199951,130873.179688,StdMix2_32;M+ACN+H;[12C]5[13C]1[1H]13[14N]2[16O]2,1.000000
533.325267,292.709991,125909.367188,StdMix2_65;M+NH4;[12C]26[1H]49[14N]2[16O]7[32S]1,1.000000
212.072006,495.337006,124170.367188,StdMix2_67;M+Na;[12C]6[13C]1[1H]12[14N]2[16O]4[23Na]1,1.000000
95.046812,2059.250000,120951.710938,StdMix2_67;M+2H;[12C]7[1H]14[14N]2[16O]4,1.000000
292.230964,983.460022,117608.531250,StdMix2_23;2M+H;[12C]13[13C]1[1H]31[14N]2[16O]4,1.000000
240.109120,1375.930054,115395.085938,StdMix2_47;M+H;[12C]7[13C]1[1H]19[14N]2[16O]4[32S]1,1.000000
79.577641,1703.959961,111767.656250,StdMix2_54;M+2ACN+2H;[12C]6[13C]1[1H]18[14N]4,1.000000
171.076232,427.679993,111372.359375,StdMix2_11;M+ACN+H;[12C]7[1H]11[14N]2[16O]3,0.990000
148.121440,990.882019,110342.257813,StdMix2_23;M+H;[12C]7[1H]16[14N]1[16O]1[18O]1,1.000000
235.107651,734.495972,107562.914063,StdMix2_59;M+ACN+H;[12C]12[1H]15[14N]2[16O]3,1.000000
