m/z,RT,Intensity,Identification,Prob
124.039271,528.505981,46455680.000000,StdMix3_1;M+H;[12C]6[1H]6[14N]1[16O]2,1.000000
190.070930,432.734009,35199104.000000,StdMix3_8;M+H;[12C]7[1H]12[14N]1[16O]5,1.000000
212.052817,439.553009,17139908.000000,StdMix3_8;M+Na;[12C]7[1H]11[14N]1[16O]5[23Na]1,1.000000
102.054830,1128.050049,13386632.000000,StdMix3_4;M+H;[12C]4[1H]8[14N]1[16O]2,1.000000
132.065381,1092.209961,8981573.000000,StdMix3_3;M+H;[12C]5[1H]10[14N]1[16O]3,0.880000
172.060395,431.373993,8428081.000000,StdMix3_7;M+ACN+H;[12C]7[1H]10[14N]1[16O]4,1.000000
125.042379,528.505981,3122592.750000,StdMix3_1;M+H;[12C]5[13C]1[1H]6[14N]1[16O]2,1.000000
191.074091,428.661987,2817305.250000,StdMix3_8;M+H;[12C]6[13C]1[1H]12[14N]1[16O]5,1.000000
120.065406,1064.930054,2621668.750000,StdMix3_6;M+NH4;[12C]4[1H]10[14N]1[16O]3,1.000000
401.116653,442.289001,2227170.000000,StdMix3_8;2M+Na;[12C]14[1H]22[14N]2[16O]10[23Na]1,1.000000
148.060372,431.373993,1670248.375000,StdMix3_7;M+NH4;[12C]5[1H]10[14N]1[16O]4,0.995000
213.056055,439.553009,1305042.250000,StdMix3_8;M+Na;[12C]6[13C]1[1H]11[14N]1[16O]5[23Na]1,1.000000
211.068789,524.088989,925656.000000,StdMix3_24;M+ACN+Na;[12C]7[1H]12[14N]2[16O]4[23Na]1,1.000000
203.052314,799.536011,620661.375000,StdMix3_12;M+Na;[12C]6[1H]12[16O]6[23Na]1,1.000000
144.065481,431.373993,615906.312500,StdMix3_6;M+ACN+H;[12C]6[1H]10[14N]1[16O]3,1.000000
103.058023,1128.050049,598677.312500,StdMix3_4;M+H;[12C]3[13C]1[1H]8[14N]1[16O]2,1.000000
173.063704,436.821991,585442.250000,StdMix3_7;M+ACN+H;[12C]6[13C]1[1H]10[14N]1[16O]4,0.990000
133.068588,1092.209961,517509.031250,StdMix3_3;M+H;[12C]4[13C]1[1H]10[14N]1[16O]3,0.880000
143.081353,1128.050049,471575.500000,StdMix3_4;M+ACN+H;[12C]6[1H]11[14N]2[16O]2,1.000000
117.018147,365.622986,422686.968750,StdMix3_9;M+H;[12C]4[1H]5[16O]4,1.000000
192.074763,431.373993,323520.375000,StdMix3_8;M+H;[12C]7[1H]12[14N]1[16O]4[18O]1,0.985000
402.120080,431.373993,279249.437500,StdMix3_8;2M+Na;[12C]13[13C]1[1H]22[14N]2[16O]10[23Na]1,1.000000
189.086831,522.611023,257500.218750,StdMix3_24;M+ACN+H;[12C]7[1H]13[14N]2[16O]4,1.000000
379.134627,431.373993,213654.921875,StdMix3_8;2M+H;[12C]14[1H]23[14N]2[16O]10,1.000000
165.065686,527.036987,170482.453125,StdMix3_1;M+ACN+H;[12C]8[1H]9[14N]2[16O]2,1.000000
126.043130,524.088989,154571.953125,StdMix3_1;M+H;[12C]6[1H]6[14N]1[16O]1[18O]1,0.935000
214.056611,435.458008,147155.546875,StdMix3_8;M+Na;[12C]7[1H]11[14N]1[16O]4[18O]1[23Na]1,0.995000
146.021042,534.377991,128290.851563,StdMix3_1;M+Na;[12C]6[1H]5[14N]1[16O]2[23Na]1,1.000000
121.068641,1064.930054,105387.570313,StdMix3_6;M+NH4;[12C]3[13C]1[1H]10[14N]1[16O]3,1.000000
213.086584,442.289001,99797.906250,StdMix3_7;M+2ACN+H;[12C]9[1H]13[14N]2[16O]4,0.995000
225.084240,1106.640015,82058.992188,StdMix3_4;2M+Na;[12C]8[1H]14[14N]2[16O]4[23Na]1,1.000000
149.063733,431.373993,76804.976563,StdMix3_7;M+NH4;[12C]4[13C]1[1H]10[14N]1[16O]4,0.995000
212.071858,522.611023,57437.511719,StdMix3_24;M+ACN+Na;[12C]6[13C]1[1H]12[14N]2[16O]4[23Na]1,1.000000
174.064563,432.734009,52702.765625,StdMix3_7;M+ACN+H;[12C]7[1H]10[14N]1[16O]3[18O]1,1.000000
253.079292,435.458008,50817.789063,StdMix3_8;M+ACN+Na;[12C]9[1H]14[14N]2[16O]5[23Na]1,1.000000
134.069360,1087.489990,43080.242188,StdMix3_3;M+H;[12C]5[1H]10[14N]1[16O]2[18O]1,0.875000
104.058887,1128.050049,42940.367188,StdMix3_4;M+H;[12C]4[1H]8[14N]1[16O]1[18O]1,1.000000
131.033751,384.295013,37870.281250,StdMix3_7;M+H;[12C]5[1H]7[16O]4,1.000000
246.096838,954.612000,36127.160156,StdMix3_6;2M+ACN+H;[12C]10[1H]16[14N]1[16O]6,1.000000
204.055578,799.536011,32093.007813,StdMix3_12;M+Na;[12C]5[13C]1[1H]12[16O]6[23Na]1,1.000000
145.068744,432.734009,29552.736328,StdMix3_6;M+ACN+H;[12C]5[13C]1[1H]10[14N]1[16O]3,1.000000
380.138215,434.096008,29371.550781,StdMix3_8;2M+H;[12C]13[13C]1[1H]23[14N]2[16O]10,1.000000
203.102293,1100.160034,27888.464844,StdMix3_4;2M+H;[12C]8[1H]15[14N]2[16O]4,1.000000
123.043804,4.437670,26309.472656,StdMix3_5;M+H;[12C]7[1H]7[16O]2,0.885000
163.059776,2.986030,23078.070313,StdMix3_7;M+CH3OH+H;[12C]6[1H]11[16O]5,0.875000
190.089965,522.611023,19838.712891,StdMix3_24;M+ACN+H;[12C]6[13C]1[1H]13[14N]2[16O]4,1.000000
144.084570,1123.130005,17907.933594,StdMix3_4;M+ACN+H;[12C]5[13C]1[1H]11[14N]2[16O]2,0.995000
166.068849,524.088989,15873.552734,StdMix3_1;M+ACN+H;[12C]7[13C]1[1H]9[14N]2[16O]2,1.000000
103.038696,11.792300,14862.902344,StdMix3_6;M+H;[12C]4[1H]7[16O]3,0.990000
158.044556,365.622986,13551.911133,StdMix3_9;M+ACN+H;[12C]6[1H]8[14N]1[16O]4,1.000000
122.069434,1066.569946,12968.718750,StdMix3_6;M+NH4;[12C]4[1H]10[14N]1[16O]2[18O]1,1.000000
118.021428,365.622986,12891.098633,StdMix3_9;M+H;[12C]3[13C]1[1H]5[16O]4,1.000000
124.036690,14.774900,12597.215820,StdMix3_4;M+Na;[12C]4[1H]7[14N]1[16O]2[23Na]1,1.000000
149.091845,903.971985,12016.501953,StdMix3_3;M+NH4;[12C]5[1H]13[14N]2[16O]3,0.880000
154.047092,1087.489990,10855.086914,StdMix3_3;M+Na;[12C]5[1H]9[14N]1[16O]3[23Na]1,0.875000
