m/z,RT,Intensity,Identification,Prob
124.039213,530.827026,44662912.000000,StdMix3_1;M+H;[12C]6[1H]6[14N]1[16O]2,0.995000
190.070905,432.700989,35400476.000000,StdMix3_8;M+H;[12C]7[1H]12[14N]1[16O]5,1.000000
212.052783,432.700989,18023900.000000,StdMix3_8;M+Na;[12C]7[1H]11[14N]1[16O]5[23Na]1,1.000000
102.054790,1125.099976,12072807.000000,StdMix3_4;M+H;[12C]4[1H]8[14N]1[16O]2,1.000000
130.049861,432.700989,11482863.000000,StdMix3_30;M+2ACN+2H;[12C]10[1H]16[14N]2[16O]6,0.825000
132.065301,1089.790039,8485219.000000,StdMix3_3;M+H;[12C]5[1H]10[14N]1[16O]3,1.000000
172.060353,432.700989,8050169.500000,StdMix3_7;M+ACN+H;[12C]7[1H]10[14N]1[16O]4,0.995000
125.042325,530.827026,2995993.000000,StdMix3_1;M+H;[12C]5[13C]1[1H]6[14N]1[16O]2,0.970000
401.116556,432.700989,2982074.000000,StdMix3_8;2M+Na;[12C]14[1H]22[14N]2[16O]10[23Na]1,1.000000
191.074072,431.338989,2777210.500000,StdMix3_8;M+H;[12C]6[13C]1[1H]12[14N]1[16O]5,0.935000
120.065333,1064.479980,2348741.000000,StdMix3_6;M+NH4;[12C]4[1H]10[14N]1[16O]3,1.000000
148.060368,432.700989,1664645.250000,StdMix3_7;M+NH4;[12C]5[1H]10[14N]1[16O]4,0.980000
213.055989,432.700989,1343528.375000,StdMix3_8;M+Na;[12C]6[13C]1[1H]11[14N]1[16O]5[23Na]1,1.000000
211.068754,527.908020,906839.375000,StdMix3_24;M+ACN+Na;[12C]7[1H]12[14N]2[16O]4[23Na]1,1.000000
203.052200,788.489990,631630.937500,StdMix3_12;M+Na;[12C]6[1H]12[16O]6[23Na]1,0.995000
173.063695,432.700989,602302.937500,StdMix3_7;M+ACN+H;[12C]6[13C]1[1H]10[14N]1[16O]4,1.000000
144.065466,432.700989,597021.812500,StdMix3_6;M+ACN+H;[12C]6[1H]10[14N]1[16O]3,0.960000
103.057978,1125.099976,569096.375000,StdMix3_4;M+H;[12C]3[13C]1[1H]8[14N]1[16O]2,1.000000
133.068527,1089.790039,478480.375000,StdMix3_3;M+H;[12C]4[13C]1[1H]10[14N]1[16O]3,1.000000
143.081284,1128.369995,417798.625000,StdMix3_4;M+ACN+H;[12C]6[1H]11[14N]2[16O]2,0.995000
