,mz,rt,into,maxo,intb
1,242.103592496206,10.4883,59683.3892883164,14915.6318359375,59678.2408643164
2,320.903031857508,24.6535,85851.5601262695,17128.626953125,82067.9988849785
3,101.035459927958,48.611,471103.956719206,53312.921875,340015.624924866
4,365.273942998976,33.4842,1300665.85024887,57443.89453125,1257853.74897828
5,99.0198021187801,48.611,605536.535230994,62100.890625,344942.946356754
6,133.944769823978,47.3615,906810.925084058,75378.6796875,591785.440480096
7,908.707057347438,56.1958,287771.160311923,59071.08203125,250958.340139043
8,364.270848168608,32.1945,5621652.35746347,271121.1875,5410321.42251951
9,568.83288979414,99.0476,95318.0664708985,16678.353515625,92214.2352648617
10,183.081326024771,162.084,61180.8729410157,14010.09765625,59636.0303533448
11,244.905797280406,15.6737,2298083.18366715,60684.03125,1133621.78290462
12,244.90581603523,193.64,652459.69938724,57830.98046875,351199.326437174
13,244.905823665431,92.7531,860481.101905298,51746.1171875,410592.878265527
14,244.905799473429,116.726,728649.590225911,52148.453125,379045.436214551
15,280.118746709719,184.8,64080.1953203125,16305.2001953125,64075.1233203125
16,307.761157060105,188.596,168508.940341797,35070.08203125,154309.074224355
17,325.668092753736,196.185,237093.679824512,62682.19140625,236571.318658727
18,283.119183220249,198.687,116024.223583741,30557.79296875,115254.586289143
19,318.158706618318,196.185,231909.560173828,48112.98046875,231901.984745257
20,268.119008094309,199.937,59252.9386669921,14651.728515625,59247.9394669921
21,325.156911638548,198.687,128809.768666992,26674.974609375,125752.604036996
22,325.166348389194,196.185,980835.747253125,137545.578125,980824.418053125
23,332.675664385777,197.436,696799.96367627,104799.796875,696787.362842937
24,718.761986476872,187.345,4835891.3192959,166957.65625,4835850.9732959
25,718.762105053963,144.446,4159352.10930589,162303.796875,4159318.0321905
26,395.247071367849,202.434,80550.64078125,21117.712890625,80545.61678125
27,666.059963311436,198.687,653509.15266377,104966.5703125,653497.79556377
28,321.21090591292,203.722,146303.539541016,63091.89453125,146298.487541016
29,332.174241115825,196.185,2445791.79838027,332977.8125,2445774.15184694
30,381.231986061742,203.722,379052.884819197,89097.1640625,379045.328247768
31,307.195046689198,203.722,450891.339071614,106289.2421875,450882.557182726
32,351.221330787317,203.722,347339.03913616,67995.15625,347331.489421875
33,395.38952884933,204.967,261070.331087109,91049.7578125,261065.283887109
34,418.213831068596,203.722,261606.113089286,64845.51953125,261599.821660714
35,421.226568007487,202.434,478365.758424107,90612.40625,478358.208709821
36,493.499105868512,203.722,161356.709708705,28826.697265625,161349.15999442
37,163.994247368181,199.937,691861.160143382,61550.89453125,648846.122686652
38,267.143808897586,204.967,682911.24146118,165656.984375,682538.280489185
39,279.163579583593,204.967,414248.921428571,84618.703125,411746.45108173
40,294.134887220134,204.967,457003.160379463,103718.8046875,456995.617522321
41,310.177909717108,204.967,453219.369852538,95426.6171875,453213.077352538
42,314.168171852724,206.252,307567.408198242,88758.375,307561.115698242
43,323.169181498907,206.252,456113.039885741,167632.03125,456106.747385741
44,327.190983100834,204.967,809208.613696288,175329.15625,808782.972212218
45,328.183724524716,204.967,291692.372115234,82227.5234375,291686.079615234
46,337.184703997167,206.252,335169.716629687,90101.46875,335164.674229687
47,341.195837684762,204.967,1134559.81964285,214369.765625,1134552.27678571
48,354.204268812249,204.967,187725.025223214,32039.8046875,187717.482366071
49,368.361485298076,206.252,204655.445620312,57920.05078125,204650.403220312
50,387.184976575668,204.967,255136.779464285,59376.16015625,255129.236607142
