,mz,rt,into,maxo,intb
1,114.11063295165,2.18092,101673.923322648,43024.90625,101668.613806648
2,141.138635690002,2.18092,292740.448917806,67149.640625,281117.706625671
3,145.169849433359,2.18092,129379.680377852,29197.779296875,126669.178470837
4,194.146896362305,2.18092,78808.5879138151,37994.51171875,75571.3493609525
5,143.154369380585,3.44379,261768.256472632,67862.5234375,258831.336543398
6,237.945978749259,4.69942,270309.529278304,32081.546875,256897.850344907
7,182.103694753441,8.64753,111102.361880967,36085.08984375,108104.980175719
8,114.102493417402,8.64753,128729.910029223,37159.703125,124365.032709927
9,130.061078337449,8.64753,257088.449754838,43328.41015625,252732.22447033
10,213.134272394215,9.90177,261343.096691174,49892.4765625,252893.943377774
11,88.0756559469453,8.64753,7503919.8015861,503460.8125,7321970.17818411
12,123.079010209525,11.1554,162015.076427996,33845.875,142727.296025938
13,145.133439964743,12.596,101151.418848454,17919.984375,95783.6315586136
14,181.069276295181,9.90177,135514.211590692,39231.1953125,135506.368639263
15,197.103343252331,9.90177,306347.176417406,47120.7109375,296727.771748579
16,139.122948714316,3.44379,558524.060759221,96156.6953125,509925.047429382
17,173.103245501759,9.90177,444933.846224503,69717.0625,387418.923982411
18,200.103003127215,8.64753,456911.17153787,62575.51953125,264678.784783716
19,118.049800176806,9.90177,409790.500039504,43629.88671875,312523.534569041
20,147.076268317715,11.1554,442087.194694222,48991.21875,333217.325114126
21,185.103336120023,9.90177,650970.601426875,67642.59375,531230.55937438
22,187.118948603595,9.90177,520407.714088863,55456.1796875,466768.437409708
23,140.042999946066,8.64753,739584.502259882,96813.296875,445577.977612338
24,182.053527772227,9.90177,469401.659086876,57217.3984375,365654.680750318
25,118.061004334933,9.90177,419518.446363426,48327.41015625,356187.578855748
26,142.110555070929,8.64753,842435.107072143,72022.5078125,698882.763232655
27,158.111698959736,9.90177,868663.99254029,84043.609375,654980.448281077
28,199.118952073016,9.90177,639753.36771279,85737.0625,479308.407313214
29,75.09977982501,5.95379,459992.147294983,51875.7734375,397112.90626191
30,115.122935539134,3.44379,736212.283224561,128019.7265625,638583.522743497
31,171.123901159286,9.90177,1044720.59612216,109677.5234375,837310.694987676
32,214.118453156579,9.90177,767261.984994505,65276.3359375,660510.693368334
33,185.13967863326,9.90177,806584.900291384,86518.7265625,452725.181439125
34,225.145640998102,8.64753,850787.255014568,89841.875,608587.222195461
35,172.107929113712,9.90177,922797.417970941,84857.6875,623501.636804798
36,102.127693185671,3.44379,1171473.49147375,123621.8671875,849402.080419915
37,142.158781610872,34.2198,816301.364748979,65536.2734375,747127.551971948
38,143.092642603206,9.90177,1373516.69616009,98093.96875,611627.228580745
39,189.102090763854,48.1319,78366.0352795508,18259.734375,78360.9871995508
40,102.066144512262,9.90177,1449267.99980887,105624.75,1449239.43435306
41,102.066208117549,39.2752,673473.784541151,62720.61328125,673456.056987305
42,102.066188433857,53.1887,695565.500729899,67563.6328125,695548.911646566
43,169.144683140816,9.90177,1161692.73148341,115385.6640625,736700.661148337
44,424.863906968526,24.1092,2138669.51446798,93625.2265625,2138633.65952428
45,424.863924166944,53.1887,1642394.37705895,77848.3125,1642366.21185895
46,138.102574439053,68.6934,1001240.24212017,46603.96875,487091.538068058
47,185.103343756541,72.4556,579125.298086729,51258.24609375,416217.673472034
48,113.107241072311,3.44379,3054052.77371862,621101.875,2679118.01496236
49,244.29067155845,41.7807,7949614.39265736,231155.953125,7555655.21036416
50,172.205908623456,30.4174,10490735.2994373,253943.875,10365359.2892317
51,334.873445796513,99.0543,89014.5448055826,20567.115234375,87228.8389102903
52,464.882878529441,81.3204,2973932.2117896,97520.5390625,2973881.44758447
53,464.882455900557,120.553,702651.630427734,76104.5,702639.000427734
54,424.863926120148,95.2035,1348963.55929168,77243.78125,1348940.79659756
55,424.863939042836,118.045,1135151.59019853,71284.640625,1135130.00619853
56,220.096732343569,128.166,77813.741938058,15245.1708984375,76222.2362850628
57,151.011574839953,4.69942,1573204.83895621,138752.0625,1349629.59119735
58,208.938392625131,11.1554,2740568.54454256,72927.09375,2740517.26759282
59,208.938513785619,107.923,1907689.50898281,77439.1796875,1907656.62127081
60,208.938545572241,60.9379,1064093.93787117,82909.71875,1064073.34363117
61,208.938477028103,83.8292,1175335.09036687,95987.34375,1175314.84034021
62,208.938457879432,138.29,1250908.37860424,81976.34375,1250883.01334108
63,227.113834385574,150.922,128531.348556082,38122.5,127015.935938963
64,142.061162349392,150.922,224705.506706543,53011.9609375,207689.763049713
65,175.09450207559,150.922,84430.7431533205,19386.8046875,82777.474806728
66,240.108830599098,150.922,70855.3196445314,18453.18359375,70850.1556445314
67,242.124278649946,150.922,71315.9179345705,16736.49609375,71310.7539345705
68,149.082302096692,152.361,58728.8222718749,13594.6044921875,58723.6574718749
69,159.087631112626,150.922,381810.773039062,62268.5703125,339552.173718042
70,174.076139147469,150.922,191688.66165918,42963.79296875,173800.388897726
71,200.10298371178,150.922,394890.68030451,83720.03125,368549.598410409
72,228.097569573606,150.922,72322.3072921874,17787.7421875,72317.1424921874
73,118.049814970814,150.922,477489.779335938,48150.296875,335466.879591647
74,169.108418540747,152.361,332550.64736499,60150.125,298703.135217548
75,172.071573474253,152.361,266800.889769238,40127.203125,246404.483922851
76,196.119247299239,150.922,362754.714743924,66761.7578125,325147.013066259
77,213.146008108081,152.361,90136.0256215125,20172.345703125,88331.6958583974
78,90.0549594844578,152.361,270536.077271545,56618.75390625,240636.354420852
79,114.102585787964,150.922,279393.04731875,39424.61328125,229988.93011875
80,185.103343143979,150.922,671388.862321874,74486.7578125,557242.428303573
81,197.103510439319,152.361,283596.917076311,54307.48046875,241359.723243679
82,201.098219008778,153.614,480805.983846558,47357.65234375,423604.012250473
83,211.119010776042,152.361,277122.793870508,50800.22265625,241787.186049364
84,213.134431206252,152.361,523708.075592221,73661.578125,418760.133835869
85,103.050197539486,149.668,1132151.86199458,65664.3046875,703436.879491823
86,117.077073957109,154.868,95905.9829474284,15958.736328125,93469.2647484976
87,155.092668387309,152.361,282386.973135442,39352.5390625,252523.842309079
88,158.103472449435,153.614,434694.483476284,49930.4609375,373349.612605445
89,171.087670230142,152.361,380934.051155724,45813.59765625,358917.350842126
90,182.053610113124,149.668,981473.945103673,69054.7578125,777960.524058576
91,197.11454138369,149.668,1161431.61421387,80539.0703125,844034.431732747
92,198.134946034285,152.361,479666.761963298,70776.265625,479652.677379965
93,199.119036766327,150.922,894971.620393006,91461.703125,767165.225906138
94,119.081553826513,152.361,255529.937683293,43507.2734375,215543.304230677
95,153.077056207139,152.361,692796.823987305,56124.50390625,520373.950912886
96,160.07169022751,152.361,893089.5934245,55486.62890625,571840.131185222
97,167.092562231369,150.922,479147.290539062,60478.1484375,394814.005135156
98,171.123953969782,152.361,1169379.34392048,131812.0625,1003485.81586815
99,187.119053702231,152.361,790075.085726628,100469.234375,695054.226087859
100,160.108065089257,152.361,492761.375868566,54248.4765625,436013.060331501
101,118.061047450454,150.922,665920.10852901,85781.4765625,547931.503285545
102,140.043053158869,149.668,1707540.78250026,126974.0546875,1004124.23105664
103,154.058609376763,150.922,1247732.54407408,96035.0390625,841620.298325189
