DatabaseID,Adduct,Annotation,std1-Beer_esi_02022012.csv,std1-Beth20512.csv,std1-Eileen02512.csv,std1-Iain_Jonstone19_4_12.csv,std1-Ivana_29_2_12.csv,std1-Robello040512.csv
StdMix1_68,M-H,[12C]5[1H]3[14N]2[16O]4,1.149592E7,4454143.5,4985867.0,6976373.5,3183978.75,4633646.0
StdMix1_77,M-H,[12C]3[1H]6[14N]1[16O]5[32S]1,9420551.0,5277586.0,5235878.0,1.1583403E7,3839282.75,6592064.5
StdMix1_66,M-H,[12C]6[1H]5[16O]6,6423289.0,2619845.25,2855890.25,4699759.5,2521094.25,3535851.0
StdMix1_81,M-H,[12C]3[1H]4[16O]6[31P]1,5534405.5,678159.875,,1700028.75,,2298286.0
StdMix1_57,M-H,[12C]19[1H]13[16O]5[32S]1,5462175.5,2280136.75,2498081.5,4687468.0,1993868.125,1805386.0
StdMix1_81,2M-H,[12C]6[1H]9[16O]12[31P]2,4875426.5,15828.266602,31435.853516,76548.632813,,261257.125
StdMix1_76,M-H,[12C]10[1H]12[14N]4[16O]8[31P]1,4592969.0,1399355.875,,3010779.75,,1582566.625
StdMix1_64,M-H,[12C]7[1H]5[16O]5,3806996.25,2989297.5,3225117.0,6799265.0,1535961.75,2000656.375
StdMix1_11,M-H,[12C]10[1H]11[14N]4[16O]5,3780769.75,2162425.75,2396087.75,4217017.0,1871990.625,
StdMix1_54,M-H,[12C]4[1H]5[16O]4,3538082.25,115541.210938,,110788.945313,207591.515625,2871653.5
StdMix1_87,M+Cl,[12C]12[1H]22[16O]11[35Cl]1,2826446.75,2292210.5,2525059.0,5230772.0,1506985.625,2834760.25
StdMix1_69,M-H,[12C]7[1H]14[14N]1[16O]4[32S]1,2813977.75,,,2637909.0,1225704.125,
StdMix1_75,M-H,[12C]9[1H]12[14N]2[16O]9[31P]1,2718492.0,,,,,
StdMix1_65,M-H,[12C]9[1H]11[14N]2[16O]6,2717363.0,1803507.75,1938025.5,4822268.0,1343660.125,1133357.0
StdMix1_3,M+Cl,[12C]8[1H]15[14N]1[16O]6[35Cl]1,2455902.0,793389.75,957310.0,3123720.0,1220501.875,720424.875
StdMix1_60,M-H2O-H,[12C]5[1H]5[16O]4,2294349.0,1321753.0,1325995.75,1805848.125,794641.875,715672.875
StdMix1_50,M-H,[12C]9[1H]7[16O]3,2134715.0,,,6159337.5,1412690.25,
StdMix1_65,M+FA-H,[12C]10[1H]13[14N]2[16O]8,2109166.0,1001219.4375,1052596.125,3441353.0,1066457.375,1529423.5
StdMix1_39,M+FA-H,[12C]9[1H]21[14N]1[16O]8[31P]1,1780984.625,,,1587154.5,,854531.625
StdMix1_56,M+FA-H,[12C]11[1H]15[14N]2[16O]7,1643166.375,1099290.0,1169905.125,4308340.5,1764446.25,1531838.125
