DatabaseID,Adduct,Annotation,std1-Beer_esi_02022012.csv,std1-Beth20512.csv,std1-Eileen02512.csv,std1-Iain_Jonstone19_4_12.csv,std1-Ivana_29_2_12.csv,std1-Robello040512.csv
StdMix1_12,M+H,[12C]9[1H]12[14N]1[16O]2,1.4120136E7,8890080.0,,,7916746.0,
StdMix1_26,M+H,[12C]4[1H]8[14N]3[16O]1,1.0997532E7,7125373.5,6922498.0,1.225224E7,5824748.0,8541903.0
StdMix1_22,M+H,[12C]5[1H]10[14N]1[16O]2,8627683.0,,3051500.75,5557930.0,3641553.5,4562971.5
StdMix1_11,M+H,[12C]10[1H]13[14N]4[16O]5,7601657.0,2708771.25,2761971.0,3594714.25,3442637.25,4056663.75
StdMix1_5,M+H,[12C]13[1H]17[14N]2[16O]2,7511820.0,7908619.5,7609486.5,1.7466296E7,4606176.0,7520684.5
StdMix1_47,M+2H,[12C]12[1H]18[14N]4[16O]1[32S]1,7511134.0,3345997.0,3318968.75,4034175.5,2472289.75,3508882.75
StdMix1_47,M+H,[12C]12[1H]17[14N]4[16O]1[32S]1,6951047.5,3916524.0,4251126.5,1.0424769E7,3556940.5,4344222.0
StdMix1_27,M+H,[12C]8[1H]17[14N]2[16O]3,6583211.0,3611042.5,3507782.75,8752750.0,,4922558.0
StdMix1_13,M+H,[12C]6[1H]14[14N]1[16O]2,6561318.0,5921166.0,5753966.0,1.1088355E7,3578135.5,9668475.0
StdMix1_8,M+H,[12C]6[1H]6[14N]1[16O]2,5548286.0,4767017.0,4718499.5,7389217.0,4211610.5,6286897.0
StdMix1_88,M+ACN+H,[12C]6[1H]10[14N]1[16O]3,4643884.0,3539788.5,3571816.0,2874224.25,2577473.75,2451395.75
StdMix1_2,M+H,[12C]5[1H]7[14N]2[16O]2,4604959.0,2138209.25,2146732.75,3863046.5,2282167.0,3031994.5
StdMix1_77,M+H,[12C]3[1H]8[14N]1[16O]5[32S]1,3835794.75,2438076.75,2674336.75,3997116.75,1781510.125,3380173.0
StdMix1_39,M+H,[12C]8[1H]21[14N]1[16O]6[31P]1,3810017.5,1062637.125,1082928.75,2193130.0,708019.9375,1247444.5
StdMix1_36,M+H,[12C]9[1H]14[14N]3[16O]5,3423962.5,1053706.125,1134400.125,1916811.625,1162338.25,1701878.375
StdMix1_42,M+H,[12C]7[1H]15[14N]2[16O]4,3410908.5,322827.46875,315903.875,2495707.25,829590.25,2483231.5
StdMix1_21,M+H,[12C]5[1H]6[14N]5,3293931.0,2821307.25,2633905.0,7237717.5,3730082.25,3471986.0
StdMix1_69,M+H,[12C]7[1H]16[14N]1[16O]4[32S]1,3137348.25,1495926.625,1580260.875,4029650.25,1350393.875,1096757.0
StdMix1_74,M+H,[12C]10[1H]13[14N]5[16O]6[31P]1,3096379.25,1215673.625,,2748293.5,,
StdMix1_46,M+H,[12C]6[1H]15[14N]4[16O]2,3086754.5,497636.1875,502142.875,3126608.0,759233.625,1738816.75
StdMix1_76,M+H,[12C]10[1H]14[14N]4[16O]8[31P]1,2952273.5,660861.25,697308.25,1241615.875,419869.6875,1149397.875
StdMix1_65,M+H,[12C]9[1H]13[14N]2[16O]6,2917353.0,,,1321539.25,,
StdMix1_14,M+H,[12C]11[1H]13[14N]2[16O]2,2629572.5,,,9371853.0,,
StdMix1_84,M+H,[12C]5[1H]10[14N]1[16O]4,2605550.0,,,3604425.0,,
StdMix1_5,M+Na,[12C]13[1H]16[14N]2[16O]2[23Na]1,2519743.5,2962731.25,2955535.5,1.0090335E7,1877884.375,2309139.25
StdMix1_20,M+H,[12C]5[1H]12[14N]1[16O]2,2498241.5,,,6946691.0,2951643.5,4060460.75
StdMix1_29,M+H,[12C]4[1H]8[14N]1[16O]4,2389094.0,757667.5625,715898.9375,1780760.25,578180.5,1571641.75
StdMix1_26,2M+H,[12C]8[1H]15[14N]6[16O]2,2345772.25,1162205.375,1168117.75,2608023.75,884402.1875,1826754.75
StdMix1_87,M+Na,[12C]12[1H]22[16O]11[23Na]1,2270430.5,3497350.25,3844846.75,7649340.0,1951059.375,3043415.0
StdMix1_15,M+H,[12C]8[1H]10[14N]1[16O]2,2167984.25,1355942.0,1557640.125,4931428.0,1135604.125,2162306.0
StdMix1_32,M+H,[12C]4[1H]9[14N]2[16O]3,2002618.875,,755441.9375,1907341.875,,1542786.125
StdMix1_81,M+H,[12C]3[1H]6[16O]6[31P]1,1715431.0,,,,,591316.8125
StdMix1_79,M+H,[12C]9[1H]15[14N]3[16O]8[31P]1,1681612.25,,,1095329.5,,
StdMix1_1,M+H,[12C]7[1H]20[14N]3,1619421.375,,,2874552.75,,1597520.625
StdMix1_11,2M+H,[12C]20[1H]25[14N]8[16O]10,1585131.375,700339.5,688885.125,1020753.6875,598852.5625,346114.28125
StdMix1_9,M+H,[12C]17[1H]21[14N]4[16O]6,1563503.75,961732.875,960573.9375,1483404.5,675945.5,601159.9375
StdMix1_36,2M+H,[12C]18[1H]27[14N]6[16O]10,1497384.0,231576.828125,221922.53125,172402.25,63516.527344,227227.84375
StdMix1_39,M+Na,[12C]8[1H]20[14N]1[16O]6[31P]1[23Na]1,1486406.375,832643.0,833302.4375,2013823.875,394872.53125,527438.8125
StdMix1_86,2M+Na,[12C]8[1H]16[16O]8[23Na]1,1286224.75,2236293.75,2418435.5,1.2076275E7,1279915.0,2020410.5
StdMix1_35,M+H,[12C]6[1H]14[14N]3[16O]3,1272969.875,,,2337599.75,,1951059.625
StdMix1_3,M+Na,[12C]8[1H]15[14N]1[16O]6[23Na]1,1238176.0,769212.9375,821659.0625,2254508.75,738373.25,
StdMix1_56,M+2ACN+H,[12C]14[1H]21[14N]4[16O]5,1232598.875,,,,309327.71875,
StdMix1_75,M+H,[12C]9[1H]14[14N]2[16O]9[31P]1,1213028.0,,269235.28125,573473.0,,
StdMix1_7,M+H,[12C]7[1H]8[14N]1[16O]2,1177734.25,3481649.5,3331857.25,5990114.5,1271393.625,4718458.0
StdMix1_43,M+H,[12C]6[1H]10[14N]3[16O]2,1161887.75,276402.875,,1858155.125,314252.4375,1399956.375
