peakID, mass, rt, intensity
0, 115.06329659209284, 576.323974609375, 2.242759936E9
1, 117.07879777836993, 531.3880004882812, 1.543961344E9
2, 257.10255780979156, 604.9249877929688, 1.150904064E9
3, 103.09963590787814, 934.3330078125, 1.130719616E9
4, 234.15753753265744, 531.3880004882812, 4.63592928E8
5, 165.07893569968485, 498.9419860839844, 4.5366576E8
6, 137.04761013949116, 546.4569702148438, 3.85299584E8
7, 117.07892489595518, 566.385986328125, 3.39511968E8
8, 131.09450233852453, 520.0759887695312, 2.92081088E8
9, 103.06333754675947, 645.1240234375, 2.67287568E8
10, 265.1160856877389, 635.1699829101562, 2.50287136E8
11, 129.04261978050826, 481.0740051269531, 2.44070112E8
12, 277.11583260453125, 542.739013671875, 2.38395888E8
13, 125.04762813535558, 423.3089904785156, 1.94523696E8
14, 128.05858281905896, 631.4229736328125, 1.93705872E8
15, 267.09657775251065, 469.6090087890625, 1.8659152E8
16, 129.07901815590634, 566.385986328125, 1.7736536E8
17, 251.10165545414645, 442.2569885253906, 1.736492E8
18, 174.11163593096302, 1000.5999755859375, 1.4418688E8
19, 155.06951007026865, 621.3759765625, 1.43808144E8
20, 243.08545604006127, 560.1500244140625, 1.42666288E8
21, 145.08516122465497, 643.8880004882812, 1.363604E8
22, 204.08986169824138, 553.9550170898438, 1.35891024E8
23, 225.11114968779756, 418.35400390625, 1.28766488E8
24, 181.07387776943654, 585.0070190429688, 1.27359224E8
25, 116.06659785107308, 576.323974609375, 1.245038E8
26, 165.11534650467024, 700.3839721679688, 1.2002544E8
27, 362.209001995096, 208.6320037841797, 1.15437152E8
28, 521.1957258335337, 668.8989868164062, 1.10180192E8
29, 531.4323626577543, 222.64500427246094, 1.05849624E8
30, 293.1472062707351, 469.6090087890625, 1.01724112E8
31, 258.105817422247, 606.1619873046875, 9.8330072E7
32, 279.1315712143142, 502.6570129394531, 9.4753496E7
33, 111.04324329013143, 560.1500244140625, 9.1469344E7
34, 119.07348509260699, 498.9419860839844, 8.2676512E7
35, 118.08216723614872, 531.3880004882812, 8.2640112E7
36, 279.0843772842813, 603.6890258789062, 8.1973816E7
37, 104.10300746482875, 934.3330078125, 7.8943416E7
38, 359.14272229923546, 651.3920288085938, 7.5168168E7
39, 293.1472379678222, 450.9739990234375, 6.0519268E7
40, 188.15240898800184, 861.4990234375, 5.9030068E7
41, 111.04318605800044, 513.8579711914062, 5.7652984E7
42, 283.0914989252407, 581.2639770507812, 5.5328744E7
43, 234.11146873438904, 415.6780090332031, 5.4946564E7
44, 293.1471656437226, 430.9809875488281, 5.3439356E7
45, 348.193493814396, 209.86599731445312, 5.2684884E7
46, 251.10029183670255, 592.5130004882812, 5.0369576E7
47, 486.17112028938146, 560.1500244140625, 4.780984E7
48, 230.1266187484718, 576.323974609375, 4.760448E7
49, 235.16080256749746, 531.3880004882812, 4.6952164E7
50, 187.0632622889289, 553.9550170898438, 4.6592632E7
51, 151.09967989349363, 199.53700256347656, 4.3798148E7
52, 166.08226930245877, 498.9419860839844, 4.365442E7
53, 107.03705270367773, 422.0710144042969, 4.343496E7
54, 151.09972381032335, 269.7799987792969, 4.3332436E7
55, 273.08439952418126, 535.2750244140625, 4.2313768E7
56, 179.09459662738178, 271.02398681640625, 4.226248E7
57, 225.12112592807227, 467.1390075683594, 4.2049336E7
58, 226.09513773838253, 430.9809875488281, 4.1284496E7
59, 89.04772880545303, 631.4229736328125, 4.1179372E7
60, 147.05302549624216, 596.2310180664062, 3.949246E7
61, 202.14300211620395, 861.4990234375, 3.8265016E7
62, 281.11212890023364, 411.9670104980469, 3.823084E7
63, 131.09450628211988, 534.0369873046875, 3.7719252E7
64, 175.09569109772704, 652.6920166015625, 3.7597236E7
65, 151.0997229972951, 251.06700134277344, 3.7466004E7
66, 146.0691608064259, 630.1820068359375, 3.7349212E7
67, 179.07919409943685, 601.1820068359375, 3.7127484E7
68, 204.06088457771827, 612.5189819335938, 3.6456836E7
69, 149.0840805703084, 454.69500732421875, 3.6073332E7
70, 278.14748047336883, 413.2040100097656, 3.5676564E7
71, 182.07896923113566, 613.7550048828125, 3.5021308E7
72, 327.1317790009166, 443.4949951171875, 3.4525964E7
73, 151.0997457865804, 234.3520050048828, 3.417508E7
74, 258.0851005368774, 481.0740051269531, 3.381928E7
75, 273.0842743795943, 531.3880004882812, 3.341784E7
76, 532.4359475135104, 222.64500427246094, 3.2823118E7
77, 226.09515925513563, 419.5920104980469, 3.1766032E7
78, 209.05351093058306, 692.7410278320312, 3.1680148E7
79, 308.1582111973964, 799.0679931640625, 3.167673E7
80, 226.09524330428152, 447.25299072265625, 3.0073708E7
81, 138.05093971104816, 546.4569702148438, 2.9166286E7
82, 126.04287535895983, 413.2040100097656, 2.8982346E7
83, 169.07383324710085, 433.5320129394531, 2.8904044E7
84, 228.14736796972, 490.0780029296875, 2.859965E7
85, 145.0738854066802, 661.3889770507812, 2.7849862E7
86, 183.05641805825437, 540.2269897460938, 2.7623956E7
87, 278.11915754074334, 542.739013671875, 2.7315054E7
88, 125.05894450521518, 479.8389892578125, 2.7253182E7
89, 297.0894981712694, 411.9670104980469, 2.69752E7
90, 257.10108160995026, 493.8139953613281, 2.6649886E7
91, 266.1194297384275, 635.1699829101562, 2.663621E7
92, 172.1324080710206, 1179.760009765625, 2.6590278E7
93, 179.0945703819819, 372.4429931640625, 2.6528228E7
94, 400.16499411519806, 206.11199951171875, 2.6447538E7
95, 363.2124984203275, 207.39700317382812, 2.6167418E7
96, 208.08470285690305, 418.35400390625, 2.6050544E7
97, 86.03681968568678, 646.3610229492188, 2.5989694E7
98, 336.1643568242308, 709.1630249023438, 2.5479342E7
99, 263.066997398059, 417.1159973144531, 2.492023E7
100, 202.0451168390565, 599.9459838867188, 2.449386E7
101, 228.14727146697575, 410.5409851074219, 2.4277784E7
102, 233.0897876420181, 592.5130004882812, 2.4229698E7
103, 151.09964409148355, 213.6320037841797, 2.4125214E7
104, 197.0897806946951, 601.1820068359375, 2.3048964E7
105, 145.11025859451556, 776.635986328125, 2.2579736E7
106, 226.0952373138144, 328.4700012207031, 2.215855E7
107, 269.147229300946, 467.1390075683594, 2.212362E7
108, 112.0272383773392, 498.9419860839844, 2.2079968E7
109, 265.1523539989279, 872.0570068359375, 2.206847E7
110, 552.3618849888461, 222.64500427246094, 2.2063226E7
111, 324.1056743585382, 665.1500244140625, 2.188918E7
112, 252.120721098579, 467.1390075683594, 2.1881626E7
