beerall-file3 0 8544984.000000 267.191986 183.053161  beerall-file1 0 4545975.500000 263.652008 183.053143  beerall-file2 0 6163619.000000 265.678009 183.053203  
beerall-file3 0 730264.500000 487.890991 159.053141  beerall-file1 0 733581.625000 510.545990 159.053110  beerall-file2 0 413257.937500 508.903015 159.053164  
beerall-file3 0 7522104.000000 239.110992 158.057897  beerall-file1 0 5395698.500000 240.802002 158.057920  beerall-file2 0 5097797.000000 239.449005 158.057937  
beerall-file3 0 6755740.000000 628.815979 89.047689  beerall-file1 0 2385254.000000 629.177979 89.047685  beerall-file2 0 41179372.000000 631.422974 89.047729  
beerall-file1 0 157685.375000 258.303009 262.103391  beerall-file2 0 199070.671875 260.334991 262.103401  
beerall-file3 0 1585506.250000 467.234009 363.154153  beerall-file1 0 1350903.250000 464.688995 363.154029  
beerall-file3 0 911088.500000 468.470001 216.099780  beerall-file1 0 937095.000000 465.925995 216.099641  beerall-file2 0 630893.937500 469.609009 216.099815  
beerall-file3 0 103422.078125 239.110992 105.065909  beerall-file1 0 45873.226563 244.824997 105.065931  
beerall-file1 0 244684.000000 661.543030 365.179569  beerall-file2 0 202954.890625 657.677979 365.179876  
beerall-file3 0 413009.437500 507.181000 227.079211  beerall-file1 0 253848.109375 508.066986 227.079292  beerall-file2 0 551553.375000 505.138000 227.079279  
beerall-file1 0 101424.593750 914.228027 232.129746  beerall-file2 0 98174.234375 814.666016 232.129642  
beerall-file3 0 15152954.000000 470.942993 229.094999  beerall-file1 0 9172999.000000 473.627991 229.094923  beerall-file2 0 9346571.000000 473.492004 229.094973  
beerall-file3 0 29262550.000000 467.234009 225.121176  beerall-file1 0 39418032.000000 465.925995 225.121091  beerall-file2 0 42049336.000000 467.139008 225.121126  
beerall-file1 0 2984941.250000 582.788025 305.073404  beerall-file2 0 3064002.250000 581.263977 305.073620  
beerall-file3 0 210969.953125 295.710999 184.073570  beerall-file1 0 369222.937500 263.652008 184.073542  
beerall-file3 0 97181.039063 366.931000 242.105348  beerall-file2 0 127970.585938 265.678009 242.105578  
beerall-file3 0 437768.687500 420.519989 201.100005  beerall-file1 0 443585.687500 437.014008 201.100038  
beerall-file1 0 1776195.750000 585.263000 213.084514  beerall-file2 0 2262544.250000 588.718994 213.084669  
