Mass	RT	T0R1L	T0R1R	T0R2L	T0R2R	T1R3L	T1R3R	T1R4L	T1R4R	T2R5L	T2R5R	T2R6L	T2R6R	T3R7L	T3R7R	T3R8L	T3R8R	relation.id	relation.ship	codadw	charge
298.0642136	548.1593132	1.88E+10	1.96E+10	2.44E+10	2.00E+10	2.21E+10	2.32E+10	2.60E+10	2.68E+10	2.43E+10	2.37E+10	2.31E+10	2.17E+10	2.67E+10	2.45E+10	2.31E+10	2.13E+10	0	bp	0.988484579	1
173.1056429	578.2405548	3.43E+09	4.31E+09	3.99E+09	3.30E+09	2.65E+09	3.83E+09	4.18E+09	4.21E+09	3.59E+09	3.28E+09	4.35E+09	4.08E+09	5.02E+09	4.94E+09	4.96E+09	3.92E+09	1	bp	0.982922334	1
72.03955393	549.2579994	1.57E+09	1.77E+09	2.46E+09	1.78E+09	1.76E+09	2.15E+09	2.90E+09	3.10E+09	2.34E+09	2.35E+09	2.25E+09	2.02E+09	3.32E+09	2.72E+09	2.39E+09	1.95E+09	2	bp	0.986392802	1
173.1056361	598.9304962	704454.25	1059124	1171024.25	2408310.5	2.65E+09	1038279.5	1328861.375	1028903.875	1684259.625	909013.5	1198050.5	1452198.25	1142350.125	811179.3125	1529292.375	1390740.875	3	bp	0.951756567	1
203.1162583	621.5687447	3.29E+08	3.49E+08	4.56E+08	3.36E+08	6.81E+08	1.13E+09	1.47E+09	1.27E+09	1.48E+09	1.12E+09	1.60E+09	1.29E+09	2.29E+09	2.34E+09	1.85E+09	1.62E+09	4	bp	0.978336874	1
300.0607266	566.0948753	447525.25	455535.2813	578455.5625	409872.6563	2.10E+09	431541.8125	597453.9375	716872.0625	477297.4688	444333.5625	403101.25	374582.125	638684.25	412484.75	391930.9375	384944.875	5	bp	0.823243916	1
188.0799587	525.628437	1.57E+09	9.75E+08	1.89E+09	9.77E+08	1.82E+08	5.81E+08	5.83E+08	6.04E+08	5.07E+08	4.87E+08	5.52E+08	5.81E+08	5.82E+08	5.62E+08	5.38E+08	5.42E+08	6	bp	0.993795937	1
245.1269019	816.3742523	2.61E+08	2.27E+08	3.99E+08	2.34E+08	6.51E+08	8.04E+08	1.10E+09	8.63E+08	1.29E+09	1.02E+09	1.18E+09	1.17E+09	1.70E+09	1.73E+09	1.31E+09	1.13E+09	7	bp	0.976459848	1
157.128714	548.9590607	4.86E+07	5.84E+07	8.31E+07	5.50E+07	4.58E+08	6.22E+08	9.37E+08	6.68E+08	7.80E+08	6.70E+08	9.68E+08	7.74E+08	1.68E+09	1.63E+09	9.68E+08	9.75E+08	8	bp	0.979725464	1
209.9933189	560.6214981	604028.5625	697099.8125	999363.3125	644723.875	1.49E+09	531901.1875	877664.4375	752873.625	528831.5	581617.875	602083.1875	507718.1563	956388.875	504625.5	539836.5625	494371.1563	9	bp	0.97653496	1
157.1286885	567.1324997	5.37E+07	6.56E+07	7.37E+07	5.34E+07	2.71E+08	5.45E+08	6.38E+08	4.85E+08	6.83E+08	5.63E+08	8.14E+08	6.95E+08	1.14E+09	1.21E+09	8.45E+08	8.41E+08	10	bp	0.9775912	1
216.1001601	1246.458942	9.72E+07	6.50E+07	1.95E+08	1.51E+08	7.24E+08	4.88E+08	1.13E+09	9.59E+08	7.92E+08	8.40E+08	5.14E+08	4.67E+08	7.06E+08	4.26E+08	5.34E+08	3.18E+08	11	bp	0.985797689	1
264.0863975	939.3788757	1.01E+08	4.43E+07	5.46E+07	3.01E+07	4.72E+08	4.36E+08	7.14E+08	5.96E+08	7.72E+08	7.16E+08	6.35E+08	5.05E+08	1.02E+09	8.16E+08	6.70E+08	5.25E+08	12	bp	0.96398636	1
155.0767594	918.9204369	3.21E+08	3.59E+08	1.89E+08	5.23E+08	6.77E+08	5.48E+08	8.93E+08	1.01E+09	8.09E+08	7.56E+08	6.09E+08	5.83E+08	9.94E+08	7.73E+08	7.29E+08	5.05E+08	13	bp	0.971841157	1
298.0642299	913.6355591	5.32E+08	3.16E+08	9.47E+08	3.93E+08	3.75E+07	2.23E+07	8.36E+07	9.64E+07	2.42E+07	4.20E+07	1.76E+07	1.75E+07	6.75E+07	2.92E+07	2.10E+07	1.55E+07	14	bp	0.981404485	1
298.0642279	916.4400673	5.32E+08	3.16E+08	9.47E+08	3.93E+08	3.75E+07	2.23E+07	8.36E+07	9.64E+07	2.42E+07	4.20E+07	1.76E+07	1.75E+07	6.75E+07	2.33E+07	2.10E+07	1.49E+07	15	bp	0.975357626	1
146.0583662	550.9307556	1.99E+07	3.93E+07	4.53E+07	4.93E+07	2.79E+08	4.55E+08	6.52E+08	6.68E+08	4.76E+08	5.14E+08	5.57E+08	5.33E+08	8.00E+08	9.46E+08	6.63E+08	5.45E+08	16	bp	0.970425971	1
229.107932	1352.131248	1.87E+07	6395841.5	5.17E+07	1.44E+07	5.84E+08	3.93E+08	9.24E+08	7.74E+08	6.46E+08	6.71E+08	4.17E+08	3.78E+08	5.66E+08	3.36E+08	4.23E+08	2.09E+08	17	bp	0.966333646	1
203.092313	1045.856247	4.17E+08	2.15E+08	5.37E+08	6.45E+08	5.01E+08	3.67E+08	8.62E+08	6.21E+08	7.78E+08	3.70E+08	5.78E+08	5.18E+08	5.16E+08	5.49E+08	8.55E+08	3.53E+08	18	bp	0.981289727	1
155.1130576	1012.858124	1.05E+08	8.61E+07	1.86E+08	1.55E+08	4.46E+08	4.55E+08	5.07E+08	4.88E+08	5.98E+08	4.22E+08	5.31E+08	5.19E+08	8.37E+08	7.43E+08	6.18E+08	5.25E+08	19	bp	0.977847554	1
231.11115	744.7355003	6.08E+07	5.77E+07	7.44E+07	4.43E+07	2.60E+08	3.25E+08	4.99E+08	3.65E+08	6.09E+08	4.10E+08	5.32E+08	4.53E+08	7.54E+08	7.88E+08	6.22E+08	4.94E+08	20	bp	0.975025172	1
217.0955407	1022.109379	7.13E+07	4.08E+07	6.98E+07	4.42E+07	3.43E+08	3.13E+08	4.88E+08	4.21E+08	5.77E+08	4.41E+08	4.43E+08	4.23E+08	7.46E+08	6.52E+08	5.67E+08	4.31E+08	21	bp	0.966563632	1
386.1351199	1229.953758	7.24E+07	3.94E+07	7.30E+08	6.16E+08	6.93E+07	1.91E+07	1.41E+08	6.87E+07	8.77E+07	1.26E+08	4.34E+07	3.08E+07	7.79E+07	2.57E+07	5.41E+07	2.97E+07	22	bp	0.979121884	1
356.1061363	910.8508034	3.94E+08	2.35E+08	7.23E+08	2.88E+08	2.75E+07	1.59E+07	6.11E+07	7.02E+07	9276933	3.06E+07	1.25E+07	1.04E+07	4.87E+07	2.10E+07	1.24E+07	1.08E+07	23	bp	0.959305828	1
203.0923263	994.9446259	2.21E+08	1.26E+08	3.33E+08	4.05E+08	2.95E+08	2.35E+08	5.62E+08	3.81E+08	5.09E+08	2.15E+08	3.40E+08	3.39E+08	3.20E+08	3.39E+08	6.00E+08	2.41E+08	24	bp	0.981491518	1
173.1056304	546.6108742	4.91E+07	6.45E+07	1.02E+08	8.17E+07	1.29E+08	1.89E+08	2.90E+08	2.54E+08	2.50E+08	3.05E+08	2.89E+08	2.78E+08	4.57E+08	5.48E+08	3.49E+08	3.29E+08	25	bp	0.984049778	1
352.1206509	1066.359375	1235840.125	857538.5	2828160.5	2274966.75	1.77E+08	1.26E+08	2.26E+08	3.21E+08	2.20E+08	2.55E+08	1.51E+08	1.81E+08	4.67E+08	3.24E+08	3.00E+08	1.64E+08	26	bp	0.961380243	1
155.0767089	744.8721275	3.03E+08	1.11E+08	4.21E+08	1.06E+08	1.66E+08	2.06E+08	2.80E+08	3.05E+08	2.98E+08	2.76E+08	3.27E+08	2.78E+08	4.56E+08	4.31E+08	4.21E+08	2.50E+08	27	bp	0.973841522	1
