"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"792",792,789,2,577.268,70.065055847168,1,1,0,0
"942",942,932,2,531.059,118.086074829102,1,1,0,0
"17512",17512,17496,2,604.701,104.107330322266,1,1,0,0
"307",307,298,2,933.275,104.107353210449,1,1,0,0
"2648",2648,2632,2,495.514,136.062347412109,1,1,0,0
"936",936,932,2,531.059,58.0654525756836,0.533076031637922,1,0,0
"14567",14567,14559,2,531.059,118.086112976074,1,1,0,0
"303",303,298,2,933.275,60.0809593200684,0.485117760062807,1,0,0
"2916",2916,2888,2,545.999,138.054489135742,1,1,0,0
"937",937,932,2,531.059,59.0734252929688,0.344496979513946,1,0,0
"17509",17509,17496,2,604.701,86.0965042114258,0.339774584815725,1,0,0
"17514",17514,17496,2,604.701,125.000564575195,0.298986727600773,1,0,0
"17511",17511,17496,2,604.701,98.9838256835938,0.237495684962228,1,0,0
"1801",1801,1795,2,484.002,84.044189453125,1,1,0,0
"797",797,789,2,577.268,116.071083068848,0.0864143982569623,1,0,0
"17503",17503,17496,2,604.701,60.0810241699219,0.190594023926511,1,0,0
"1889",1889,1878,2,566.043,84.0806884765625,1,1,0,0
"1729",1729,1718,2,631.311,83.0603408813477,1,1,0,0
"1756",1756,1745,2,627.569,83.0603408813477,1,1,0,0
"1321",1321,1309,2,420.52,108.044136047363,1,1,0,0
"18426",18426,18367,2,635.046,248.112945556641,1,1,0,0
"17506",17506,17496,2,604.701,71.0732574462891,0.148101717459688,1,0,0
"2647",2647,2632,2,495.514,119.035171508789,0.22560936624596,1,0,0
"17520",17520,17496,2,604.701,258.109771728516,0.125070333995868,1,0,0
"855",855,848,2,577.268,71.0687789916992,1,1,0,0
"867",867,860,2,577.268,71.0687789916992,1,1,0,0
"2909",2909,2888,2,545.999,94.0647506713867,0.258640492171965,1,0,0
"14560",14560,14559,2,531.059,58.0655670166016,0.204514388230571,1,0,0
"2912",2912,2888,2,545.999,110.059761047363,0.207781318652692,1,0,0
"301",301,298,2,933.275,58.0654563903809,0.0925946831106024,1,0,0
"33578",33578,33562,2,659.996,85.0282974243164,1,1,0,0
"33619",33619,33603,2,670.092,85.0282974243164,1,1,0,0
"17518",17518,17496,2,604.701,184.07453918457,0.08221446879944,1,0,0
"4327",4327,4307,2,588.459,152.056045532227,1,1,0,0
"3636",3636,3629,2,643.79,87.0439376831055,1,1,0,0
"3708",3708,3701,2,640.068,87.0439376831055,1,1,0,0
"3644",3644,3629,2,643.79,146.092834472656,0.970939009207859,1,0,0
"3716",3716,3701,2,640.068,146.092834472656,0.970939009207859,1,0,0
"974",974,959,2,531.059,119.089363098145,1,1,0,0
"992",992,977,2,531.059,119.089363098145,1,1,0,0
"14561",14561,14559,2,531.059,59.0731163024902,0.145358664388179,1,0,0
"3635",3635,3629,2,643.79,86.0601806640625,0.934898869270487,1,0,0
"3707",3707,3701,2,640.068,86.0601806640625,0.934898869270487,1,0,0
"2649",2649,2632,2,495.514,137.046173095703,0.0965504821925055,1,0,0
"337",337,327,2,933.275,105.10994720459,1,1,0,0
"352",352,342,2,933.275,105.10994720459,1,1,0,0
"367",367,357,2,932.013,105.10994720459,1,1,0,0
"17654",17654,17632,2,604.701,105.11003112793,1,1,0,0
"2697",2697,2679,2,482.766,137.046188354492,1,1,0,0
"33590",33590,33562,2,659.996,145.049957275391,0.616280605376575,1,0,0
"33631",33631,33603,2,670.092,145.049957275391,0.616280605376575,1,0,0
"1322",1322,1309,2,420.52,126.055519104004,0.326545250542139,1,0,0
"18399",18399,18367,2,635.046,98.06005859375,0.332447326658054,1,0,0
"6084",6084,6063,2,692.788,121.064964294434,1,1,0,0
"16885",16885,16867,2,439.647,136.062377929688,1,1,0,0
"18394",18394,18367,2,635.046,87.0439453125,0.300708579093661,1,0,0
"33754",33754,33733,2,222.14,143.015411376953,1,1,0,0
"2541",2541,2538,2,874.873,70.0650863647461,1,1,0,0
"839",839,832,2,588.459,71.068717956543,1,1,0,0
"8587",8587,8572,2,859.384,84.0807571411133,1,1,0,0
"17652",17652,17632,2,604.701,104.107406616211,0.707407693727091,1,0,0
"2907",2907,2888,2,545.999,92.0494689941406,0.0930879275461737,1,0,0
"33736",33736,33733,2,222.14,55.0181922912598,0.898009852786472,1,0,0
"3049",3049,3009,2,545.999,139.058410644531,1,1,0,0
"4792",4792,4779,2,621.074,110.071731567383,1,1,0,0
"4328",4328,4307,2,588.459,153.040679931641,0.496598903016544,1,0,0
"2643",2643,2632,2,495.514,92.0243606567383,0.0558375609276886,1,0,0
"18425",18425,18367,2,635.046,230.103424072266,0.240557568312007,1,0,0
"14197",14197,14193,2,577.268,70.0650329589844,1,1,0,0
"4403",4403,4378,2,260.221,121.064880371094,1,1,0,0
"17498",17498,17496,2,604.701,56.0497703552246,0.0347020978735673,1,0,0
"853",853,848,2,577.268,70.0651168823242,0.27203563902748,1,0,0
"865",865,860,2,577.268,70.0651168823242,0.27203563902748,1,0,0
"638",638,622,2,453.384,95.060791015625,1,1,0,0
"669",669,653,2,453.384,95.060791015625,1,1,0,0
"17501",17501,17496,2,604.701,58.0655097961426,0.0326665833209904,1,0,0
"7010",7010,7005,2,1002.67,70.065071105957,1,1,0,0
"20962",20962,20941,2,602.224,221.019058227539,1,1,0,0
"20985",20985,20964,2,609.647,221.019058227539,1,1,0,0
"1892",1892,1878,2,566.043,130.085708618164,0.170210127357921,1,0,0
"2910",2910,2888,2,545.999,96.0441436767578,0.0701328334621363,1,0,0
"3655",3655,3645,2,776.026,87.043830871582,1,1,0,0
"14201",14201,14193,2,577.268,116.071044921875,0.825137270866707,1,0,0
"1798",1798,1795,2,484.002,56.0498085021973,0.126339684939769,1,0,0
"4835",4835,4819,2,510.903,111.055419921875,1,1,0,0
"4",4,1,2,578.503,70.065055847168,1,1,0,0
"18379",18379,18367,2,635.046,70.0652236938477,0.177643835623326,1,0,0
"2897",2897,2888,2,545.999,65.0388259887695,0.0598614083950574,1,0,0
"17576",17576,17569,2,484.002,84.0441131591797,1,1,0,0
"17597",17597,17590,2,474.881,84.0441131591797,1,1,0,0
"17618",17618,17611,2,493.037,84.0441131591797,1,1,0,0
"20954",20954,20941,2,602.224,104.107322692871,0.75377364817473,1,0,0
"20977",20977,20964,2,609.647,104.107322692871,0.75377364817473,1,0,0
"3674",3674,3661,2,274.851,86.0965347290039,1,1,0,0
"33592",33592,33562,2,659.996,163.060607910156,0.278249785547587,1,0,0
"33633",33633,33603,2,670.092,163.060607910156,0.278249785547587,1,0,0
"18393",18393,18367,2,635.046,86.060188293457,0.160975167303048,1,0,0
"14776",14776,14758,2,540.996,118.08610534668,1,1,0,0
"14802",14802,14784,2,531.059,118.08610534668,1,1,0,0
"14828",14828,14810,2,531.059,118.08610534668,1,1,0,0
"302",302,298,2,933.275,59.0733909606934,0.0250733771821458,1,0,0
"2644",2644,2632,2,495.514,94.0396423339844,0.0364748415185394,1,0,0
"34527",34527,34510,2,677.736,85.0282821655273,1,1,0,0
"17656",17656,17632,2,604.701,124.999320983887,0.401160076861762,1,0,0
"1721",1721,1718,2,631.311,56.0497550964355,0.140347073170732,1,0,0
"1748",1748,1745,2,627.569,56.0497550964355,0.140347073170732,1,0,0
"33571",33571,33562,2,659.996,69.0336608886719,0.25787385409609,1,0,0
"33612",33612,33603,2,670.092,69.0336608886719,0.25787385409609,1,0,0
"33582",33582,33562,2,659.996,97.0283660888672,0.255375881616634,1,0,0
"33623",33623,33603,2,670.092,97.0283660888672,0.255375881616634,1,0,0
"18378",18378,18367,2,635.046,69.0337295532227,0.1462491556604,1,0,0
"17651",17651,17632,2,604.701,98.98388671875,0.377682860078676,1,0,0
"14777",14777,14758,2,540.996,119.089385986328,0.893052155255412,1,0,0
"14803",14803,14784,2,531.059,119.089385986328,0.893052155255412,1,0,0
"14829",14829,14810,2,531.059,119.089385986328,0.893052155255412,1,0,0
"1732",1732,1718,2,631.311,129.065719604492,0.129617159253945,1,0,0
"1759",1759,1745,2,627.569,129.065719604492,0.129617159253945,1,0,0
"964",964,959,2,531.059,59.0687103271484,0.298364858681525,1,0,0
"982",982,977,2,531.059,59.0687103271484,0.298364858681525,1,0,0
"8957",8957,8952,2,278.946,59.04931640625,1,1,0,0
"9014",9014,9009,2,277.702,59.04931640625,1,1,0,0
"15739",15739,15724,2,559.742,112.051109313965,1,1,0,0
"23064",23064,22993,2,472.407,276.143646240234,1,1,0,0
"19108",19108,19088,2,478.834,85.0282821655273,1,1,0,0
"19149",19149,19129,2,467.234,85.0282821655273,1,1,0,0
"15502",15502,15475,2,477.597,126.066520690918,1,1,0,0
"15540",15540,15513,2,478.834,126.066520690918,1,1,0,0
"15599",15599,15572,2,487.891,126.066520690918,1,1,0,0
"17583",17583,17569,2,484.002,130.050491333008,0.802603931781011,1,0,0
"17604",17604,17590,2,474.881,130.050491333008,0.802603931781011,1,0,0
"17625",17625,17611,2,493.037,130.050491333008,0.802603931781011,1,0,0
"33589",33589,33562,2,659.996,127.03865814209,0.227984420321964,1,0,0
"33630",33630,33603,2,670.092,127.03865814209,0.227984420321964,1,0,0
"1917",1917,1911,2,642.551,70.065071105957,1,1,0,0
"1933",1933,1927,2,661.235,70.065071105957,1,1,0,0
