"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy"
"507",507,0,1,202.27,401.268676973071,837837.5,1,0,0
"511",511,0,1,207.21,409.117706511734,681124.5625,1,0,0
"561",561,0,1,208.914,439.128349879815,917705.125,1,0,0
"643",643,0,1,210.555,293.138236734672,584715.9375,1,0,0
"669",669,0,1,213.883,455.123307444066,771855.3125,1,0,0
"689",689,0,1,210.555,345.206048102938,2244053.5,1,0,0
"701",701,0,1,212.213,221.080789273636,621417.4375,1,0,0
"795",795,0,1,220.345,353.195870639496,683365.25,1,0,0
"850",850,0,1,222.004,680.48027326753,892057.1875,1,4126,0
"1138",1138,0,1,208.914,336.2168069009,1647519.875,1,0,0
"1152",1152,0,1,210.555,417.16736672321,2936892,1,0,0
"1194",1194,0,1,220.345,647.458867607769,1169222,1,4079,0
"1278",1278,0,1,241.333,244.09685675287,639390.25,1,0,0
"1336",1336,0,1,217.014,367.211639224153,1150866.75,1,2886,0
"1366",1366,0,1,224.132,258.206300649286,619509.6875,1,0,0
"1510",1510,0,1,223.511,654.33210175492,1054607.125,1,4092,0
"1514",1514,0,1,232.136,267.171824227173,1507241.375,1,0,0
"1539",1539,0,1,227.164,365.19597621407,1058359.875,1,0,0
"1608",1608,0,1,225.027,395.206559783575,701562.4375,1,0,0
"1639",1639,0,1,217.014,339.25306338457,729525,1,0,0
"1663",1663,0,1,208.914,251.127621682448,10716952,1,0,0
"1672",1672,0,1,207.21,319.19032510113,16997846,1,0,0
"1701",1701,0,1,254.538,273.180688283011,3130825.75,1,0,0
"1707",1707,0,1,254.538,311.136820850607,723304.1875,1,0,0
"1717",1717,0,1,233.045,447.274180982696,636006.1875,1,0,0
"1812",1812,0,1,210.555,349.200950395545,8487835,1,0,0
"1900",1900,0,1,223.511,379.211550562557,4685900.5,1,0,0
"1996",1996,0,1,207.21,333.205890709074,15416663,1,0,0
"2011",2011,0,1,223.511,560.471095202661,549954.375,1,3952,0
"2044",2044,0,1,259.492,282.181134264068,2401196.75,1,0,0
"2105",2105,0,1,272.759,229.047321262667,1618860.25,1,0,0
"2140",2140,0,1,241.333,257.042097420287,2833694.25,1,0,0
"2151",2151,0,1,272.759,264.089958547428,2606887.75,1,0,0
"2194",2194,0,1,208.914,363.216417857395,17580676,1,0,0
"2198",2198,0,1,247.94,369.203788777545,7133688.5,1,0,0
"2231",2231,0,1,224.132,666.512655225047,575206.375,1,4106,0
"2268",2268,0,1,232.136,279.15905122272,719467.0625,1,0,0
