"","peakID","MSnParentPeakID","msLevel","rt","mz","intensity","Sample","GroupPeakMSn","CollisionEnergy","fragment_bin_id","loss_bin_id"
"24734",24734,11942,2,578.503,70.0651147266822,1,1,278,0,"70.06515","46.00479"
"20156",20156,7289,2,529.988,58.0654910753736,1,1,0,0,"58.06542","60.02095"
"22917",22917,9542,2,598.111,104.107396395128,1,1,0,0,"104.10714",NA
"24724",24724,11865,2,931.225,60.0808762136174,1,1,0,0,"60.08103","44.02594"
"20157",20157,7289,2,529.988,59.0734586892797,0.655320454846917,1,0,0,"59.07313",NA
"22011",22011,8468,2,631.28,83.0603368556016,1,1,402,0,"83.06044","46.00479"
"19040",19040,6688,2,464.836,136.062332011085,1,1,0,0,"136.06244","132.04154"
"18732",18732,6596,2,474.091,84.0441912231015,1,1,0,0,"84.04419","46.00544"
"20746",20746,7533,2,568.231,84.0806797564063,1,1,0,0,"84.08073","46.00544"
"18424",18424,6390,2,435.111,136.062383604307,1,1,0,0,"136.06244","116.0464"
"18735",18735,6597,2,458.593,84.0441296011318,1,1,0,0,"84.04419","46.00544"
"18454",18454,6439,2,426.999,108.044232111748,1,1,375,0,"108.04429","18.01064"
"19920",19920,7214,2,547.622,94.0647803503795,1,1,0,0,"94.0648",NA
"20772",20772,7541,2,583.758,152.055980162049,1,1,0,0,"152.05601","132.04154"
"24725",24725,11865,2,931.225,58.0653888957634,0.184312972345851,1,0,0,"58.06542","46.04161"
"19921",19921,7214,2,547.622,110.059776464979,0.76207503414987,1,0,0,"110.05981","27.99501"
"16248",16248,5039,2,417.616,70.0651461569612,1,1,0,0,"70.06515",NA
"22918",22918,9542,2,598.111,60.0810800047766,0.138570495106497,1,0,0,"60.08103",NA
"23495",23495,10015,2,626.791,248.112882056342,1,1,0,0,"248.11301","18.01006"
"22515",22515,8952,2,655.12,85.0282764908637,1,1,2827,0,"85.02834",NA
"16249",16249,5039,2,417.616,209.092680556188,0.673211924179491,1,0,0,"209.09234","17.0258"
"19616",19616,6868,2,527.681,118.086119166515,1,1,1611,0,"118.08618",NA
"17823",17823,6092,2,457.251,95.0606864955557,1,1,256,0,"95.06012","18.01006"
"24046",24046,10137,2,723.338,121.064786836701,1,1,0,0,"121.06491","45.05787"
"22224",22224,8741,2,669.57,85.0282384553972,1,1,4130,0,"85.02834",NA
"23454",23454,9977,2,862.17,84.0806692287511,1,1,0,0,"84.08073","105.07772"
"20372",20372,7407,2,573.443,70.0650779817231,1,1,1544,0,"70.06515","161.06848"
"21196",21196,7844,2,609.835,105.110080510676,1,1,0,0,"105.11009",NA
"18987",18987,6668,2,501.77,111.055225929664,1,1,0,0,"111.05528","46.00544"
"19922",19922,7214,2,547.622,92.0494901985002,0.361149804535043,1,0,0,"92.04949","46.00479"
"20373",20373,7407,2,573.443,116.071134688393,0.841789243936591,1,1544,0,"116.07118","115.06279"
