id,mass,RT,Intensity
1,93.98670737929764,362.29901123046875,7720.5185546875
2,311.9646337190985,362.29901123046875,12958.5751953125
3,150.0344351131915,361.3399963378906,5.739508E7
4,241.03822745909653,370.0740051269531,70166.359375
5,54.01086267210636,361.15899658203125,1.3743821E7
6,191.07340921171328,361.3399963378906,4.6893256E7
7,151.01651627373272,361.3399963378906,1774180.0
8,189.0764851880781,361.3399963378906,8.7472544E8
9,219.11103694664902,381.29901123046875,15293.1337890625
10,128.02944802219497,361.3399963378906,1.3525329E7
11,98.98587119334087,362.29901123046875,17601.81640625
12,67.04227982057094,381.885986328125,6452.38720703125
13,154.02426597804228,388.95599365234375,26112.224609375
14,172.03472615030356,388.95599365234375,35471.1328125
15,56.037683435213715,382.47198486328125,7455.76171875
16,56.03767980877517,386.6090087890625,7558.09033203125
17,56.0376768934938,382.47198486328125,7455.76171875
18,128.0657541374066,386.0199890136719,354317.09375
19,154.02800122201594,388.66400146484375,34159.80078125
20,196.06437734972056,386.0199890136719,13096.4697265625
21,158.10020874747434,366.7099914550781,718840.625
22,173.03259203658203,399.1369934082031,1952940.875
23,208.00435790875423,373.9129943847656,92810.9765625
24,208.00435455527966,386.0199890136719,91174.7109375
25,117.04109401805114,380.10198974609375,86358.171875
26,173.01450055947151,388.95599365234375,40502.78125
27,201.11590681925753,383.35400390625,70004.09375
28,205.090385782719,380.71099853515625,32625.6484375
29,80.06265659736569,372.739013671875,292036.46875
30,121.01602321718268,380.3940124511719,10583.0341796875
31,156.06075555760498,386.0199890136719,747173.0
32,172.03850050931356,389.24798583984375,52014.91015625
33,176.05819297498664,383.35400390625,12207.0
34,182.04873258636582,383.05999755859375,22811.767578125
35,76.0144648785245,379.8110046386719,52936.36328125
36,94.02507376327497,379.8110046386719,34537.8828125
37,115.98860954121956,362.29901123046875,25731.22265625
38,126.01380014931023,389.24798583984375,36587.58203125
39,133.03598911935876,380.10198974609375,274227.375
40,155.07677908262343,386.0199890136719,9822220.0
41,162.0425166975469,386.6090087890625,13667.2236328125
42,201.1200136512208,382.1809997558594,57723.7578125
43,206.08822974331775,385.40899658203125,23178.46484375
44,269.1119690634991,387.1940002441406,47908.953125
45,95.98238673642953,362.0039978027344,72624.890625
46,154.06886504108186,384.8219909667969,228240.71875
47,167.9810203904809,363.1820068359375,88914.7109375
48,168.02749377846365,362.0039978027344,77450.8671875
49,183.03276897680536,379.8110046386719,1016158.25
50,202.11333131232414,381.885986328125,58266.48046875
51,294.09604160297215,363.1820068359375,41634.2109375
52,130.05632370643335,385.11700439453125,158171.359375
53,171.03517859089447,388.95599365234375,831656.9375
54,117.98429733107757,361.7229919433594,157236.78125
55,57.05805376267571,370.0740051269531,38073.07421875
56,216.10023966111504,378.6419982910156,114096.953125
57,236.0721358661154,374.79400634765625,92889.296875
58,112.04572518468403,385.72601318359375,69781.859375
59,200.11649036531423,385.72601318359375,873608.9375
60,204.09141748378897,386.6090087890625,332039.875
61,254.08835461681497,382.7659912109375,261218.875
62,168.04493455594184,397.7799987792969,353343.78125
63,127.04540904666018,399.1369934082031,1.0896047E7
64,203.07987738177974,398.3949890136719,3.182222E7
65,176.03248312934346,403.7170104980469,16875.58984375
66,152.01260032509848,408.71099853515625,315886.09375
67,170.0231352247025,408.447998046875,129551.6484375
68,176.084409710966,416.3269958496094,208097.875
69,189.10051753640687,399.1369934082031,1.99805344E8
70,133.03595923020072,423.010009765625,537351.8125
71,149.03721323264773,399.1369934082031,5791212.5
72,149.03726411632408,361.3399963378906,3.6096148E7
73,175.0848241437188,416.3269958496094,2284863.0
74,210.01992460709013,428.83099365234375,301533.09375
75,222.02006584052887,428.83099365234375,1298899.375
76,251.97625993909043,431.46099853515625,83241.3125
77,267.98874069343657,431.46099853515625,451170.15625
