id,mass,RT,Intensity
1,190.07671346139924,361.156005859375,2.0172394E7
2,215.98211690975626,362.4599914550781,7403.765625
3,265.979232047829,361.8739929199219,9462.1162109375
4,93.98670680581691,362.1679992675781,8443.66015625
5,211.97081761493288,363.3340148925781,13748.322265625
6,216.06382161275312,363.62799072265625,15697.107421875
7,176.05009825319914,361.156005859375,2664374.5
8,54.01092856330362,360.7640075683594,7115140.0
9,241.03824318384648,369.4490051269531,49869.50390625
10,65.99181182761086,361.8739929199219,14825.55859375
11,63.99617550239474,361.8739929199219,16676.9765625
12,261.9678937635791,361.5799865722656,17970.0859375
13,202.04814028506954,361.156005859375,1.7959042E7
14,158.1002016251405,366.2980041503906,749345.25
15,149.99056040812647,361.5799865722656,22019.90234375
16,191.07357317157388,361.156005859375,1.4793526E7
17,149.04102337186202,361.156005859375,4441242.5
18,128.02943799239705,361.156005859375,5253732.0
19,205.09031540668155,385.3630065917969,26706.876953125
20,149.0372781115509,361.156005859375,1.0375162E7
21,219.11106617536282,381.5429992675781,12731.0712890625
22,154.0242693943137,388.9100036621094,22624.158203125
23,172.03473056365857,388.9100036621094,34212.04296875
24,154.02799163138855,388.6159973144531,28923.564453125
25,173.0145512435291,388.9100036621094,34697.86328125
26,126.01379503042143,388.9100036621094,32822.875
27,255.0877844017763,384.77398681640625,19969.958984375
28,56.03768319924064,388.3240051269531,7335.001953125
29,117.04109211636253,380.0570068359375,50744.8984375
30,156.0607709824611,385.9739990234375,683668.8125
31,256.08511717060605,385.0690002441406,16878.76953125
32,121.01603362411007,385.3630065917969,10975.689453125
33,131.0597059586254,379.7659912109375,7820.19921875
34,162.04253631872157,378.88299560546875,11945.234375
35,201.11589007196235,386.56201171875,68873.3046875
36,201.12001275546285,385.6809997558594,55546.953125
37,131.05591969280457,378.88299560546875,9237.837890625
38,145.97924013082493,361.34698486328125,130637.171875
39,172.03814627828277,398.7569885253906,222898.9375
40,176.0581920121817,388.9100036621094,13319.15625
41,182.04874008256377,383.01300048828125,27365.939453125
42,196.06438344333733,386.26800537109375,12353.9072265625
43,204.09140760847734,386.56201171875,316331.75
44,206.08825479857063,387.7359924316406,21918.025390625
45,73.98047324897493,362.1679992675781,23783.6171875
46,94.02507523782882,379.47100830078125,29311.478515625
47,115.98860961794117,361.5799865722656,39179.45703125
48,133.03598523658377,379.7659912109375,180999.671875
49,154.0688724497443,384.18701171875,142836.3125
50,179.98099582649695,361.5799865722656,38581.828125
51,202.1133259466243,379.177001953125,53334.3671875
52,218.07945468691875,361.156005859375,3.4818876E7
53,95.98238293626649,361.5799865722656,122344.625
54,130.05632154833359,381.8370056152344,143361.609375
55,168.0274848982227,361.5799865722656,55891.6640625
56,171.0351694066548,388.9100036621094,703474.3125
57,183.03275946649813,379.7659912109375,739206.0
58,216.10024948116947,378.5889892578125,103333.65625
59,254.08835342824324,385.6809997558594,242444.75
60,269.1119519555293,386.56201171875,47972.6015625
61,283.9696968545914,361.34698486328125,87055.7890625
62,57.05805297566337,362.1679992675781,34315.07421875
63,155.07677810082276,385.9739990234375,8525257.0
64,117.98429451608516,361.5799865722656,257340.703125
65,200.11648806759203,385.6809997558594,812907.3125
66,236.0721261613113,374.7449951171875,56176.765625
67,112.04572675213163,383.5989990234375,62003.73828125
68,203.07987506879837,398.18499755859375,1.7394652E7
69,127.04541838062102,398.94500732421875,9115605.0
70,192.08143875403607,398.7569885253906,580321.9375
71,170.02312521991723,405.3070068359375,94448.203125
72,152.01259491068822,408.8489990234375,175373.046875
73,189.1005258051556,398.94500732421875,1.81215824E8
74,133.03596689029817,422.97900390625,329360.0
75,175.08482571052275,416.218994140625,1543738.5
76,94.02935519450973,427.6969909667969,5962.2392578125
77,210.01990651207674,428.5769958496094,158452.3125
